# DelosDB MVCC candidate-index authority removal proof points.
# Format:
# id|relative_path|contract|marker|reason
# This Phase D gate closes candidate indexes as normal MVCC SQL read authority.
# Candidate structures may remain for parity diagnostics and explicit fallback accounting only.

mvcc-removal-audit-zero-authority|gradle/static-analysis/delosdb-mvcc-candidate-index-authority-audit.txt|AUDIT_CONTRACT|NORMAL_SQL_AUTHORITY|The authority-removal gate fails if any audit row still classifies candidate indexes as normal SQL read authority
mvcc-removal-sql-gate|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexAuthorityRemovalTest.java|SQL_INTEGRATION_GATE|candidate-index fallback must be removed as SQL authority|The SQL closeout gate proves normal reads do not use legacy candidate fallback as authority
mvcc-removal-legacy-property|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexAuthorityRemovalTest.java|SQL_INTEGRATION_GATE|legacy candidate-index fallback property must no longer enable SQL authority|The legacy diagnostic property cannot silently restore candidate-index SQL authority
mvcc-removal-ordered-authority|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexAuthorityRemovalTest.java|SQL_INTEGRATION_GATE|normal equality/range reads should use ordered index pages|Covered equality and range reads must use ordered MVCC index pages rather than candidate authority
mvcc-removal-rowid-fastpath|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexAuthorityRemovalTest.java|SQL_INTEGRATION_GATE|ordered authority should feed page-backed row-id reads|Ordered authority must flow into page-backed row-id reads on covered current-committed paths
mvcc-removal-reopen|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexAuthorityRemovalTest.java|SQL_INTEGRATION_GATE|candidate-index fallback must stay removed after reopen|Authority removal must survive shutdown and reopen instead of being only in-memory state
mvcc-removal-suite-wiring|delosdb-tests/build.gradle|TEST_SUITE_WIRING|MvccSqlCandidateIndexAuthorityRemovalTest.class|The focused MVCC SQL integration task must execute the authority-removal closeout test
mvcc-removal-state-hard-gate|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccConglomerateState.java|PRODUCTION_GATE|candidateIndexDiagnosticFallbackEnabledForTesting|The bridge keeps the legacy diagnostic fallback switch hard-quarantined and property-independent
mvcc-removal-state-ordered-equality|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccConglomerateState.java|PRODUCTION_GATE|orderedIndexRowIdsFor|The scan narrowing boundary asks the provider for ordered page-backed equality row ids
mvcc-removal-state-ordered-range|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccConglomerateState.java|PRODUCTION_GATE|orderedIndexRowIdsInRangeFor|The scan narrowing boundary asks the provider for ordered page-backed range row ids
mvcc-removal-scan-boundary|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccScanController.java|PRODUCTION_GATE|state.orderedIndexRowIdsFor(indexQualifiers)|The scan controller uses ordered-index row ids when a covered current-committed shortcut is safe
mvcc-removal-fallback-counter|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccBridgeDiagnosticsSupport.java|DIAGNOSTIC_CONTRACT|incrementCandidateIndexFallbackLookupCount|The old fallback counter remains explicit diagnostic accounting and must stay cold on covered paths
mvcc-removal-capability-contract|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageCapabilities.java|CAPABILITY_CONTRACT|candidateIndexAuthorityRemoved|Storage capability metadata exposes candidate-index authority removal as a read-only provider fact
mvcc-removal-capability-test|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/StorageCapabilitiesTest.java|CAPABILITY_CONTRACT|MVCC candidate-index authority removal should be exposed|The capability test keeps provider metadata aligned with authority-removal behavior
mvcc-removal-statistics-test|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccStorageStatisticsTest.java|CAPABILITY_CONTRACT|candidateIndexAuthorityRemoved|Public storage statistics continue reporting candidate-index authority removal for MVCC
