# DelosDB generated-class architecture manifest
# Format: id|category|path|marker|reason
GCA-001|CONTRACT|delosdb-runtime-api/src/main/java/org/apache/derby/iapi/services/compiler/JavaFactory.java|interface JavaFactory|The existing JavaFactory, ClassBuilder, MethodBuilder, and LocalField interfaces remain the only compiler-facing generation boundary.
GCA-002|CONTRACT|gradle/static-analysis/delosdb-methodbuilder-operation-inventory.txt|MB-043|The complete MethodBuilder surface remains frozen at 43 signatures and 32 distinct operation names.
GCA-003|CONTRACT|gradle/static-analysis/delosdb-methodbuilder-behavior-fixtures.txt|MBF-043|Every MethodBuilder signature remains mapped to one of ten executable behavior groups.
GCA-004|BACKEND|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/classfile/ClassFileJava.java|implements JavaFactory|ClassFileJava is the sole production implementation of the inherited generated-class contract.
GCA-005|BACKEND|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/classfile/ClassFileJava.java|import java.lang.classfile.ClassFile;|Only the backend implementation may depend directly on the standard JDK Class-File API.
GCA-006|REGISTRATION|delosdb-engine/src/main/java/org/apache/derby/modules.properties|derby.module.javaCompiler=org.apache.derby.impl.services.bytecode.classfile.ClassFileJava|Normal Derby boot resolves exactly one fixed generated-class implementation without a selector or fallback.
GCA-007|CONTRACT_TEST|delosdb-tests/src/delosTest/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassContractFreezeTest.java|testGenerationContractIsStable|The reflection and digest proof permanently guards all 52 interface methods and checked exceptions.
GCA-008|BEHAVIOR_TEST|delosdb-tests/src/delosTest/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassContractBehaviorTest.java|testClassFileContractBehavior|The complete deterministic behavior fixture executes all ten groups directly through the production backend.
GCA-009|PRODUCTION_TEST|delosdb-tests/src/delosTest/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassProductionTest.java|MODULES_PROPERTIES_SOLE_BACKEND|The real SQL proof boots without an override and validates reads, updates, SQLStates, and shutdown behavior.
GCA-010|ACCEPTANCE|delosdb-tests/build.gradle|runDelosGeneratedClassProductionAcceptance|One built-in campaign combines contract, behavior, SQL, language, JDBC/DRDA, security, UDT, and modular-image evidence.
GCA-011|JDBC_DRDA|delosdb-tests/build.gradle|runDelosGeneratedClassProductionJdbcDrdaTest|The focused network and application-type lane executes through ordinary production registration.
GCA-012|SQLANCER|build.gradle|delosGeneratedClassProductionSqlancerValidation|The caller-supplied SQLancer wrapper rejects hidden compiler overrides and uses fixed modules.properties registration.
GCA-013|VERIFIER|delosdb-buildtools/src/main/java/org/apache/derbyBuild/DelosJdk25ClassFileVerifier.java|java.lang.classfile.ClassFile|Independent JDK-owned parsing verifies generated and runtime class files without an external bytecode library.
GCA-014|DEPENDENCY_POLICY|delosdb-engine/build.gradle|no external bytecode library|The engine compiles against java.base and contains no external bytecode dependency.
GCA-015|MODULE_POLICY|delosdb-engine/src/main/java/module-info.java|Generated bytecode uses java.lang.classfile from java.base.|The engine module descriptor contains no external bytecode module requirement and relies only on java.base for class-file generation.
GCA-016|RUNTIME_POLICY|gradle/delosdb-runtime-artifacts.gradle|requires no external bytecode jar|Runtime artifacts, smoke classpaths, and distributions contain no separate bytecode library or hidden bytecode runtime edge.
GCA-017|DESIGN|docs/design/V1-GENERATED-CLASS-ARCHITECTURE.md|Status: VERIFIED AND CONSOLIDATED|The maintained design document describes the final architecture rather than the completed migration sequence.
GCA-018|STATIC_GATE|gradle/delosdb-generated-class-static-analysis.gradle|delosGeneratedClassStaticAnalysis|One permanent gate owns contract, architecture, dependency, task-wiring, and retired-artifact enforcement.
GCA-019|ROOT_WIRING|build.gradle|dependsOn 'delosGeneratedClassStaticAnalysis'|S0 always executes the consolidated generated-class architecture gate so contract and dependency drift cannot bypass closeout.
GCA-020|ROADMAP|.delosdb-v1/03-roadmap/10-PHASE-10-READABLE-ENGINE.md|Generated compiler modernisation: COMPLETE / CONSOLIDATED|The readable-engine roadmap closes the compiler migration and points to stable-plan work next.
