# DelosDB Phase L — MVCC recovery replay engine proof map
# id|path|category|marker|reason
L-ROADMAP|docs/ENGINE-DEPTH-ROADMAP.md|ROADMAP_STATUS|Phase L — MVCC recovery replay engine|Phase L must be explicitly tracked in the engine-depth roadmap before recovery replay work is allowed to move forward.
L-ENGINE-CLASS|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngine.java|REPLAY_ENGINE|public final class MvccRecoveryReplayEngine|Recovery replay must have a production coordinator instead of relying only on tests around the page recovery runner.
L-STRICT-OUTCOME|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngine.java|TRANSACTION_OUTCOME_REPLAY|recoverStrict()|Strict replay must continue to route page mutations through the transaction-outcome authority, not legacy mutation-log commit markers.
L-SUBSYSTEM-PLAN|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java|SUBSYSTEM_REPLAY_PLAN|public ReplayPlan replayPlan()|Subsystem recovery records must expose a replay plan so row/index/overflow/FSM/outcome completeness can be checked before replay.
L-CROSS-SUBSYSTEM|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java|CROSS_SUBSYSTEM_ATOMICITY|requireCrossSubsystemCompleteness|Cross-subsystem crash tests need an explicit completeness check instead of silently accepting partial subsystem replay metadata.
L-OPEN-STRICT|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/PageBackedMvccTable.java|BOOT_PATH_WIRING|new MvccRecoveryReplayEngine(log, outcomes, store).recoverStrict()|The normal strict boot path must enter the recovery replay engine, not bypass it through direct page runner calls.
L-IDEMPOTENT-TEST|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngineTest.java|IDEMPOTENT_REPLAY|duplicateReplayIsIdempotentWithinOneLogAndAcrossRepeatedBoots|Recovery replay must prove duplicate records and repeated boot replay are idempotent and do not duplicate visible rows.
L-FAULT-OFFSET-TEST|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngineTest.java|ARBITRARY_OFFSET_FAULT|arbitraryWalOffsetTruncationIgnoresOnlyTornFinalRecords|Phase L must include arbitrary-offset/torn-tail fault injection rather than only clean crash boundaries.
L-CORRUPT-TEST|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngineTest.java|CORRUPT_RECORD_REJECTION|completeCorruptMutationRecordFailsLoudlyInsteadOfBeingIgnored|Recovery may tolerate torn final records, but complete corrupt records must fail loudly instead of being silently ignored.
L-TORN-REWRITE-TEST|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngineTest.java|TORN_REWRITE_REPLAY|tornRewriteSiblingIsIgnoredDuringReplayAndReopen|The replay harness must cover torn sidecar rewrite siblings because earlier sidecar hardening targeted exactly that failure mode.
L-CROSS-SUBSYSTEM-TEST|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngineTest.java|CROSS_SUBSYSTEM_TEST|crossSubsystemCompletenessRejectsCrashBetweenRedoApplications|The test suite must reject a crash image where row-page redo is present but index/overflow/FSM redo metadata is missing.
L-OUTCOME-MATCH-TEST|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngineTest.java|OUTCOME_MATCH_TEST|rowPageRedoWithoutMatchingTransactionOutcomeIsRejectedBeforeReplay|A row-page redo record without matching transaction-outcome redo is an incomplete recovery plan and must fail before replay mutates pages.
