# DelosDB generated-class modernisation final-state manifest
# Format: id|category|path|marker|reason
GEN-CF-001|CONTRACT|delosdb-runtime-api/src/main/java/org/apache/derby/iapi/services/compiler/JavaFactory.java|ClassBuilder newClassBuilder|The compiler-facing factory contract must remain the stable boundary so SQL compiler nodes do not depend directly on a bytecode implementation or library.
GEN-CF-002|CONTRACT|delosdb-runtime-api/src/main/java/org/apache/derby/iapi/services/compiler/MethodBuilder.java|void upCast(String className)|The inherited MethodBuilder surface must retain the primitive and reference retyping contract proven by the complete production behavior fixture.
GEN-CF-003|CLASSFILE_BACKEND|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/classfile/ClassFileJava.java|implements JavaFactory|ClassFileJava must remain behind the existing JavaFactory abstraction rather than introducing a parallel generated-class plan or backend interface.
GEN-CF-004|CLASSFILE_BACKEND|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/classfile/ClassFileJava.java|COMPILER_PHASE_6_ASM_REMOVAL|The production implementation must identify the final compiler phase so stale candidate or authority-switch source cannot silently replace the verified backend.
GEN-CF-005|CLASSFILE_BACKEND|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/classfile/ClassFileJava.java|CLASSFILE_PRODUCTION_SOLE_BACKEND|The backend must declare sole production authority after external ASM source, dependencies, module edges, and bounded oracle infrastructure are removed.
GEN-CF-006|BACKEND_REGISTRATION|delosdb-engine/src/main/java/org/apache/derby/modules.properties|derby.module.javaCompiler=org.apache.derby.impl.services.bytecode.classfile.ClassFileJava|Normal Derby boot must select exactly one fixed Class-File API implementation through the inherited monitor registration without a runtime backend selector.
GEN-CF-007|BEHAVIOR_TEST|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassContractBehaviorTest.java|testClassFileContractBehavior|The complete 43-signature and ten-group behavior fixture must execute directly against the sole Class-File API backend after the differential oracle is retired.
GEN-CF-008|BEHAVIOR_TEST|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassContractBehaviorTest.java|shortConstant.upCast("int")|The final behavior proof must retain the primitive short-to-int retyping path that the full language suite exposed during the candidate campaign.
GEN-CF-009|PRODUCTION_TEST|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassClassFileProductionTest.java|MODULES_PROPERTIES_SOLE_BACKEND|The real SQL proof must boot without a backend override and verify that ordinary modules.properties registration selects ClassFileJava.
GEN-CF-010|PRODUCTION_TEST|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassClassFileProductionTest.java|External ASM status: REMOVED|The production proof must record that no bounded ASM oracle remains after the final dependency and source removal milestone.
GEN-CF-011|DEPENDENCY_REMOVAL|build.gradle|Compiler Phase 6: no external bytecode dependency configuration remains.|The root dependency model must no longer declare an ASM version, resolvable configuration, or runtime artifact that can re-enter distributions or tests.
GEN-CF-012|DEPENDENCY_REMOVAL|delosdb-engine/build.gradle|ClassFileJava uses java.lang.classfile from java.base; no external bytecode library.|The engine must compile against the standard JDK API only and must not retain an implementation dependency on an external bytecode library.
GEN-CF-013|MODULE_REMOVAL|delosdb-engine/src/main/java/module-info.java|Generated bytecode uses java.lang.classfile from java.base.|The engine module descriptor must rely on java.base and must not require an external automatic ASM module after the migration is complete.
GEN-CF-014|RUNTIME_MODEL|gradle/delosdb-runtime-artifacts.gradle|requires no external bytecode jar|Runtime jars, smoke classpaths, distributions, and provider verification must no longer append a separate ASM artifact to the supported runtime model.
GEN-CF-015|ACCEPTANCE|delosdb-tests/build.gradle|runDelosGeneratedClassClassFileProductionAcceptance|The final built-in acceptance campaign must combine contract, behavior, SQL, language, JDBC/DRDA, and modular-image execution through the sole backend.
GEN-CF-016|ACCEPTANCE|delosdb-tests/build.gradle|runDelosGeneratedClassClassFileProductionJdbcDrdaTest|The focused network, security, catalog-object, and application-UDT lane must execute without a backend override or external ASM runtime support.
GEN-CF-017|SQLANCER|build.gradle|delosGeneratedClassClassFileProductionSqlancerValidation|External SQLancer validation must use the sole production registration and reject hidden derby.module.javaCompiler overrides inherited from the environment.
GEN-CF-018|DESIGN|docs/design/V1-JDK25-CLASSFILE-GENERATION-MODERNIZATION.md|Compiler Phase 6 status: IMPLEMENTED / PENDING VERIFICATION|The design record must state the exact final implementation status until the user verifies the focused, acceptance, SQLancer, and closeout lanes.
GEN-CF-019|POLICY|docs/design/V1-JDK25-CLASSFILE-GENERATION-MODERNIZATION.md|No external ASM dependency remains.|The design must make the final dependency policy explicit so a later convenience change cannot silently restore the retired implementation or library.
GEN-CF-020|ROADMAP|.delosdb-v1/03-roadmap/10-PHASE-10-READABLE-ENGINE.md|Compiler Phase 6 — external ASM removal|The maintained roadmap must record the final milestone, its acceptance evidence, and the rule that ClassFileJava is the only supported generated-class backend.
GEN-CF-021|STATIC_GATE|gradle/delosdb-compiler-modernization-static-analysis.gradle|delosGeneratedClassModernizationStaticAnalysis|The general compiler gate must scan production, test, build, module, registration, and abstraction surfaces for final-state drift.
GEN-CF-022|STATIC_GATE|gradle/delosdb-generated-class-contract-static-analysis.gradle|delosGeneratedClassClassFileAsmRemovalStaticAnalysis|The dedicated Phase 6 gate must reject retired sources, tasks, overrides, and incomplete final acceptance wiring.
GEN-CF-023|ROOT_WIRING|build.gradle|dependsOn 'delosGeneratedClassClassFileAsmRemovalStaticAnalysis'|S0 closeout must always execute the permanent external-ASM removal gate after the backend migration is complete.
GEN-CF-024|RUNTIME_MODEL|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/V1ModularImageDrdaTest.java|java compiler backend: modules.properties|The modular-image report must prove the spawned server and client use fixed module registration rather than a test-only backend injection path.
