# DelosDB Compiler Phase 6 external ASM removal manifest
# Format: id|category|path|marker|reason
CFR-001|SOLE_BACKEND|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/classfile/ClassFileJava.java|CLASSFILE_PRODUCTION_SOLE_BACKEND|ClassFileJava must be the only generated-class implementation retained in production source after the bounded differential period is closed.
CFR-002|SOLE_BACKEND|delosdb-engine/src/main/java/org/apache/derby/modules.properties|derby.module.javaCompiler=org.apache.derby.impl.services.bytecode.classfile.ClassFileJava|The inherited monitor registration must resolve one fixed Class-File API backend with no fallback, selector, or alternative production module.
CFR-003|SOURCE_REMOVAL|scripts/cleanup-phase10-compiler-phase6-external-asm-removal.sh|AsmJava.java|The apply-time cleanup must delete the external ASM implementation and every obsolete ASM-dependent test or phase-specific candidate artifact.
CFR-004|DEPENDENCY_REMOVAL|build.gradle|no external bytecode dependency configuration remains|The root dependency model must no longer expose an ASM version, configuration, or runtime artifact to any module, test, distribution, or benchmark.
CFR-005|DEPENDENCY_REMOVAL|delosdb-engine/build.gradle|no external bytecode library|The engine implementation must compile solely against java.lang.classfile from java.base and ordinary DelosDB module dependencies.
CFR-006|MODULE_REMOVAL|delosdb-engine/src/main/java/module-info.java|Generated bytecode uses java.lang.classfile from java.base.|The JPMS descriptor must not require the retired external ASM automatic module after ClassFileJava becomes the sole implementation.
CFR-007|RUNTIME_MODEL|gradle/delosdb-runtime-artifacts.gradle|requires no external bytecode jar|Runtime artifact assembly and provider verification must use only supported DelosDB jars without appending an ASM runtime file collection.
CFR-008|CONTRACT_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassContractFreezeTest.java|org.apache.derby.impl.services.bytecode.classfile.ClassFileJava|The frozen 52-method generation contract must now assert the sole implementation rather than loading the retired ASM oracle.
CFR-009|CONTRACT_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassContractBehaviorTest.java|CLASSFILE_PRODUCTION_SOLE_BACKEND|All 43 MethodBuilder signatures and ten behavior groups must execute deterministically through ClassFileJava after oracle retirement.
CFR-010|SQL_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassClassFileProductionTest.java|COMPILER_PHASE_6_ASM_REMOVAL|The real SQL proof must verify default backend selection, prepared reads and updates, SQLState preservation, and shutdown behavior in the final phase.
CFR-011|LANGUAGE_SUITE|delosdb-tests/build.gradle|tasks.named('runDerbyLangSuite')|The complete inherited language suite must remain part of the final built-in acceptance campaign through ordinary production registration.
CFR-012|JDBC_DRDA|delosdb-tests/build.gradle|runDelosGeneratedClassClassFileProductionJdbcDrdaTest|Network client, security, deserialization, catalog-object, aggregate, and UDT integration must execute through the sole backend.
CFR-013|MODULAR_IMAGE|delosdb-tests/build.gradle|runDelosV1ModularImageDrdaTest|The jlink server/client proof must run the normal modules.properties authority without a candidate-only property propagated to spawned JVMs.
CFR-014|SQLANCER|build.gradle|delosGeneratedClassClassFileProductionSqlancerValidation|External SQLancer validation must reject environment overrides and test the same fixed production authority used by normal DelosDB execution.
CFR-015|STATIC_GATE|gradle/delosdb-compiler-modernization-static-analysis.gradle|zero external ASM dependency surface|The general compiler gate must scan Java, Gradle, runtime-model, and module-descriptor surfaces for any reintroduced external ASM edge.
CFR-016|STATIC_GATE|gradle/delosdb-generated-class-contract-static-analysis.gradle|delosGeneratedClassClassFileAsmRemovalStaticAnalysis|The dedicated final gate must validate source deletion, task retirement, behavior evidence, SQL evidence, modular execution, and status documentation.
CFR-017|STATUS|docs/design/V1-JDK25-CLASSFILE-GENERATION-MODERNIZATION.md|Compiler Phase 6 status: IMPLEMENTED / PENDING VERIFICATION|The design status must remain pending until focused, built-in, SQLancer, and normal closeout verification are green on the authoritative JDK 25 environment.
CFR-018|STATUS|.delosdb-v1/NEW-SESSION-README.md|Next action: verify Compiler Phase 6|The handoff document must direct the next session to final removal verification rather than repeating candidate or authority-switch work.
