# id|path|category|marker|reason
M01|docs/ENGINE-DEPTH-ROADMAP.md|ROADMAP_STATUS|Execution state: implementation slice delivered by delosdb-mvcc-buffer-manager-phase2-overlay.zip.|Phase M must be recorded as an implementation slice, not a speculative roadmap item, because the buffer flush discipline now changes the MVCC write path.
M02|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferFlushCoordinator.java|WAL_BEFORE_FLUSH_COORDINATOR|MVCC WAL-before-flush violation|The coordinator owns the invariant that a dirty page with a non-zero pageLSN cannot be published before its covering MVCC log LSN is known durable.
M03|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferFlushCoordinator.java|GROUP_COMMIT_COORDINATOR|forcePageVolumeAfterBatch|The coordinator batches page-volume force boundaries so one flush batch can write multiple dirty pages and force the volume once.
M04|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferFlushCoordinator.java|OBSERVABLE_DIAGNOSTICS|record Snapshot|The coordinator exposes stable counters for durable log LSN, WAL-before-flush checks, failures, group-commit batches, and grouped page flushes.
M05|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccPageCache.java|DIRTY_FLUSH_SCHEDULING|MvccBufferFlushCoordinator flushCoordinator|The page cache now has a coordinated flush path that schedules all dirty pages through the WAL guard and force-batch boundary.
M06|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccPageCache.java|WAL_GUARD_WIRING|flushCoordinator.beforePageFlush(page)|Dirty page publication is routed through the coordinator before any page-volume write occurs.
M07|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccPageCache.java|GROUP_FORCE_WIRING|flushCoordinator.forcePageVolumeAfterBatch(volume, flushedPages)|The page cache performs one group force after a dirty-page flush batch rather than forcing each dirty page independently.
M08|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccPageCache.java|CACHE_DIAGNOSTICS|groupedForceBatches|Cache snapshots expose grouped-force and WAL-before-flush counters so the behavior is observable and testable.
M09|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/PageBackedMvccTableStore.java|STORE_LOG_LSN_WIRING|bufferFlushCoordinator.recordLogForcedThrough(pageLsn)|The page-backed store records the provider-local forced WAL LSN before flushing pageLSN-bearing dirty pages.
M10|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/PageBackedMvccTableStore.java|STORE_GROUP_FLUSH_WIRING|pageCache.flushAll(pageVolume, bufferFlushCoordinator)|The page-backed store routes durable page writes through the coordinator instead of scattering direct page-volume force calls.
M11|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/PageBackedMvccTableStore.java|STORE_DIAGNOSTICS|pageCacheWalBeforeFlushCheckCount|The table store exposes buffer-manager phase-2 counters for diagnostics and later SQL-level inspection.
M12|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferManagerPhase2Test.java|WAL_BEFORE_FLUSH_TEST|walBeforeFlushRejectsDirtyPageUntilCoveringLogRecordIsForced|A fault-injection test proves a dirty page with a pageLSN cannot flush until the covering log LSN is recorded durable.
M13|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferManagerPhase2Test.java|GROUP_COMMIT_TEST|groupCommitForcesOnceForMultipleDirtyPagesInTheSameFlushBatch|A batch test proves two dirty pages can be written under one page-volume force boundary.
M14|gradle/delosdb-storage-static-analysis.gradle|STATIC_GATE|delosMvccBufferManagerPhase2StaticAnalysis|The new implementation is protected by a focused static gate and wired into S0 closeout verification.
M15|docs/ENGINE-DEPTH-ROADMAP.md|L_STANDING_GATE|Phase L recovery replay remains a standing gate after this buffer-manager change.|Phase M must continue to rerun the Phase L replay harness because buffer-manager flush ordering changes the crash surface.
