# id|capability|backend marker|test marker|reason
CFV-001|CLASS_CREATION|builder.withVersion(ClassFile.JAVA_25_VERSION, 0)|ClassFile.JAVA_25_VERSION|The bounded backend must emit the project JDK 25 class-file version through the final Class-File API while the differential test independently verifies both generated headers.
CFV-002|FIELD_CREATION|builder.withField(|LocalField value = classBuilder.addField(|The vertical slice must prove that the inherited LocalField abstraction can create mutable generated activation fields without exposing Class-File API builders to compiler-facing callers.
CFV-003|METHOD_PARAMETERS|code.parameterSlot(id)|identity.getParameter(0)|Parameter access must use the Class-File API method descriptor and slot calculation so receiver and category-two slot accounting are not reimplemented by DelosDB.
CFV-004|CONSTANTS|code.constantPool().stringEntry(value)|stringConstant.push("delos")|Primitive, reference, and typed-null constants must pass through the inherited MethodBuilder contract and produce equivalent loaded results from ASM and Class-File API classes.
CFV-005|FIELD_ACCESS|code.getfield(|writeExternal.putField(|The vertical slice must cover generated and external instance field reads and writes, including assignment-result semantics, before broader activation constructs are migrated.
CFV-006|METHOD_INVOCATION|code.invokeinterface(|describedLength.callMethod(lengthDescriptor)|Static, virtual, interface, and cached zero-argument invocation descriptions must preserve receiver, argument, return-width, and exception behavior across both backends.
CFV-007|TYPE_CONVERSION|code.conversion(|widen.cast("long")|Primitive conversion, reference checkcast, upcast-only method resolution, and instanceof must retain the inherited MethodBuilder stack model and runtime failure behavior.
CFV-008|NULL_BRANCH|code.ifnonnull(elseLabel)|isNull.conditionalIfNull()|The Class-File API backend must preserve Derby's unusual conditionalIfNull contract where the first branch executes for null and the else branch executes for non-null values.
CFV-009|BOOLEAN_BRANCH|code.ifeq(elseLabel)|choose.conditionalIf()|Boolean conditional generation must preserve true-branch and false-branch stack merging while leaving no Class-File API labels or builders visible outside the backend implementation.
CFV-010|RETURN_AND_BOUNDARY|code.return_(typeKind(returnType))|provePhase4Boundary(classFileFactory)|Typed and void returns must verify and execute, while arrays, object construction, stack choreography, exception declarations, and splitting remain explicit fail-fast Phase 4 boundaries.
