# DelosDB DERBY-7107 review/apply-if-still-valid audit
# Format: id|path|category|marker|reason
roadmap-delivered|docs/ENGINE-DEPTH-ROADMAP.md|ROADMAP_STATUS|Execution state: implementation slice delivered by delosdb-derby-7107-inaddr-any-overlay.zip.|The engine-depth roadmap must show that the DERBY-7107 micro-slice was reviewed and delivered without reopening the closed Phase A-J roadmap.
upstream-provenance|docs/ENGINE-DEPTH-ROADMAP.md|UPSTREAM_PROVENANCE|NetworkServerControl can bind the server to INADDR_ANY, but then command methods such as ping try to connect to the wildcard address itself.|The fix must remain tied to the upstream Derby issue behavior instead of becoming a broad DRDA/server rewrite.
server-helper|delosdb-server/src/main/java/org/apache/derby/impl/drda/NetworkServerControlImpl.java|SERVER_COMMAND_TARGET|getCommandTargetAddress|NetworkServerControl needs a small command-target resolver so the listen address can stay wildcard while command sockets connect to loopback.
server-ipv4-loopback|delosdb-server/src/main/java/org/apache/derby/impl/drda/NetworkServerControlImpl.java|SERVER_COMMAND_TARGET|InetAddress.getByName("127.0.0.1")|IPv4 INADDR_ANY must resolve to an IPv4 loopback command target so a server bound to 0.0.0.0 remains reachable by control commands.
server-ipv6-loopback|delosdb-server/src/main/java/org/apache/derby/impl/drda/NetworkServerControlImpl.java|SERVER_COMMAND_TARGET|InetAddress.getByName("::1")|IPv6 wildcard must resolve to an IPv6 loopback command target while preserving non-wildcard command targets unchanged.
server-socket-uses-resolved-target|delosdb-server/src/main/java/org/apache/derby/impl/drda/NetworkServerControlImpl.java|SERVER_COMMAND_TARGET|createSocket(commandTargetAddress, portNumber)|All NetworkServerControl command socket creation paths must use the resolved command target rather than the wildcard listen address.
regression-test-class|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/derbynet/NetworkServerControlInaddrAnyTest.java|REGRESSION_TEST|Regression coverage for DERBY-7107.|Focused test coverage must prove the DERBY-7107 behavior without requiring a live firewall/VPN failure mode.
regression-test-ipv4|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/derbynet/NetworkServerControlInaddrAnyTest.java|REGRESSION_TEST|testIpv4WildcardUsesIpv4LoopbackCommandTarget|The regression test must assert that 0.0.0.0 is not used as the command connection target.
regression-test-ipv6|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/derbynet/NetworkServerControlInaddrAnyTest.java|REGRESSION_TEST|testIpv6WildcardUsesIpv6LoopbackCommandTarget|The regression test must assert that IPv6 wildcard is not used as the command connection target.
regression-test-nonwildcard|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/derbynet/NetworkServerControlInaddrAnyTest.java|REGRESSION_TEST|testNonWildcardCommandTargetIsUnchanged|The regression test must prove normal non-wildcard Derby network control behavior remains unchanged.
derbynet-suite-wiring|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/derbynet/_Suite.java|DERBYNET_SUITE_WIRING|NetworkServerControlInaddrAnyTest.suite()|The focused DERBY-7107 regression must be reachable from the existing derbynet suite rather than living as an orphan source file.
fork-diff-classification|gradle/static-analysis/delosdb-derby-fork-diff-classification.txt|FORK_DIFF_CLASSIFICATION|network-server-control-modernization|NetworkServerControlImpl is an inherited Derby high-risk surface and must remain classified when this server bug fix is applied.
compatibility-boundary|docs/ENGINE-DEPTH-ROADMAP.md|COMPATIBILITY_BOUNDARY|the server bind/listen address remains unchanged, while command sockets use 127.0.0.1 for IPv4 wildcard and ::1 for IPv6 wildcard.|The slice must preserve Derby server binding behavior and change only the invalid command connection target.
