# id|decision|path|category|marker|reason
SAD001|FULL_HEAP_SCAN|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/heap/Heap.java|DERBY_COMPATIBILITY_ANCHOR|public ScanManager openScan(|Inherited Derby heap table scans are compatibility authority and must remain unchanged until a heap compatibility gate proves a safe replacement.
SAD002|HEAP_INDEX_SCAN|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/btree/index/B2I.java|DERBY_COMPATIBILITY_ANCHOR|public ScanManager openScan(|Inherited Derby B-tree scans are compatibility authority and can be observed by DelosDB diagnostics but not silently rerouted.
SAD003|MVCC_FULL_SCAN|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccInheritedTable.java|MVCC_AUTHORITY_PATH|public DelosStorageScan openScan(DelosStorageSnapshot snapshot)|MVCC full scans remain row/version visibility authority for snapshots, write-intent overlays, and non-shortcut reads.
SAD004|MVCC_ORDERED_EQUALITY_LOOKUP|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccInheritedIndexMaintenance.java|MVCC_SHORTCUT_PATH|Optional<List<Long>> orderedIndexRowIdsFor(int column, String value)|Ordered equality lookup is a current-committed row-id narrowing shortcut and must not bypass MVCC visibility semantics.
SAD005|MVCC_ORDERED_RANGE_SCAN|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccInheritedIndexMaintenance.java|MVCC_SHORTCUT_PATH|Optional<List<Long>> orderedIndexRowIdsInRangeFor(|Ordered range lookup narrows row ids from ordered index pages while row qualification and visibility remain authoritative.
SAD006|MVCC_ROW_ID_LOOKUP|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccScanController.java|MVCC_SHORTCUT_PATH|private Optional<StoreDataValue[]> readCurrentCommittedOrSnapshot(long rowId)|Row-id lookup is a fast path for current-committed reads but still falls back to MVCC snapshot reads when needed.
SAD007|MVCC_VISIBILITY_FILTERED_INDEX_LOOKUP|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccScanController.java|MVCC_AUTHORITY_PATH|private boolean advanceToNextIndexedRow()|Index-narrowed row ids are candidates only; row visibility and Derby qualifiers still decide the returned row.
SAD008|DIAGNOSTIC_CANDIDATE_PARITY_SCAN|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageCandidateIndex.java|DIAGNOSTIC_ONLY_PATH|Optional<List<Long>> candidateRowIdsFor(int column, String value)|Candidate indexes are retained for diagnostics and parity checks, not as normal SQL read authority.
SAD009|EXPLICIT_COMPATIBILITY_FALLBACK|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageOrderedIndexFallbackReason.java|FALLBACK_CLASSIFICATION|public enum DelosStorageOrderedIndexFallbackReason|Ordered-index shortcut declines must have explicit root-cause fallback reasons rather than silent full-scan behavior.
SAD010|TEST_ONLY_PATH|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageTableDiagnostics.java|TEST_DIAGNOSTIC_PATH|orderedIndexFallbackReasonSummariesForTesting|Testing and diagnostics may expose counters and summaries, but those surfaces must not become hidden storage authority.
