# DelosDB MVCC buffer replacement policy audit proof map.
# id | path | marker | category | reference | risk
BRP-001|docs/MVCC-BUFFER-REPLACEMENT-POLICY.md|MVCC Buffer Replacement Policy Audit|DOCUMENTATION|HerdDB;InnoDB;PostgreSQL;H2;JDK 25|The audit must be repository-visible before replacement policy abstraction, JMH benchmarking, or adaptive cache behavior changes are attempted.
BRP-002|docs/MVCC-BUFFER-REPLACEMENT-POLICY.md|This is an audit artifact, not a behavior change|NO_BEHAVIOR_CHANGE|Derby|This slice must remain diagnostic so no SQL, MVCC visibility, recovery, checkpoint, or heap compatibility behavior changes silently.
BRP-003|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicy.java|Deterministic replacement policy for the MVCC decoded-page cache|CURRENT_POLICY|HerdDB;InnoDB|The current policy is intentionally simple and deterministic; future replacements must preserve safety while improving scan and pressure behavior.
BRP-004|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicy.java|clean and unpinned page|VICTIM_SELECTION|PostgreSQL;HerdDB|Victim selection currently requires a clean unpinned page, so future algorithms must keep dirty/pinned safety explicit rather than hidden in cache internals.
BRP-005|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicy.java|pinnedProtectedPages|PIN_PROTECTION|InnoDB;HerdDB|Pin protection is a correctness boundary; no replacement policy may evict pages with active pinned handles.
BRP-006|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicy.java|dirtyProtectedPages|DIRTY_PROTECTION|InnoDB;PostgreSQL|Dirty-page protection prevents unsafe eviction, but future policy work must coordinate dirty pressure with checkpoint-aware flushing.
BRP-007|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicy.java|Decision.noVictim|NO_VICTIM_REPORTING|HerdDB;InnoDB|No-victim reporting is the current signal for all-pinned/all-dirty pressure and must remain visible for diagnostics, JFR, and benchmarks.
BRP-008|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccPageCache.java|new LinkedHashMap<>(16, 0.75f, true)|ACCESS_ORDER_CACHE|H2;HerdDB|The current cache uses access-order map semantics; future CLOCK/CLOCK-Pro/CAR candidates must be benchmarked against this baseline.
BRP-009|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccPageCache.java|trimToMaxPagesUnlocked|EVICTION_BOUNDARY|InnoDB;HerdDB|The eviction loop is the current buffer-boundary algorithm and must preserve pin/dirty invariants before any page-class or adaptive policy extension.
BRP-010|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccPageCache.java|replacementNoVictimCount|POLICY_METRICS|JDK 25;HerdDB|Replacement counters already expose scan, dirty-protection, pinned-protection, and no-victim pressure and are candidates for JFR/JMH diagnostics.
BRP-011|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferFlushCoordinator.java|MVCC WAL-before-flush violation|FLUSH_SAFETY_BOUNDARY|InnoDB;PostgreSQL|Buffer replacement must not bypass the WAL-before-flush guard or grouped page-volume force boundary.
BRP-012|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicyTest.java|leastRecentlyUsedCleanPageIsEvictedFirst|TEST_PROOF_EXISTING|HerdDB;H2|Existing proof establishes current access-order eviction behavior and provides the baseline for future policy comparisons.
BRP-013|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicyTest.java|dirtyPagesAreProtectedUntilFlushMakesThemEvictable|TEST_PROOF_EXISTING|InnoDB;PostgreSQL|Existing proof protects dirty-page safety and must remain green for any replacement-policy implementation.
BRP-014|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicyTest.java|noVictimIsReportedWhenEveryPageIsProtected|TEST_PROOF_EXISTING|HerdDB;InnoDB|Existing proof keeps all-protected cache pressure visible instead of silently evicting unsafe pages.
BRP-015|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccPageCachePinDirtyTest.java|pin|PIN_DIRTY_PROOF_EXISTING|InnoDB;HerdDB|Existing pin/dirty lifecycle proof anchors buffer-manager correctness before any adaptive policy work.
BRP-016|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferManagerPhase2Test.java|groupCommitForcesOnceForMultipleDirtyPagesInTheSameFlushBatch|FLUSH_PROOF_EXISTING|InnoDB;PostgreSQL|Existing phase-2 buffer test proves grouped flush behavior remains separate from replacement policy decisions.
BRP-017|delosdb-storage-mvcc/build.gradle|runMvccBufferReplacementPolicyTest|LIFECYCLE_WIRING|JDK 25|Buffer replacement proof tasks are wired into lifecycle verification so future policy work cannot silently leave tests outside check.
BRP-018|docs/ALGORITHM-INVENTORY.md|delosdb-mvcc-buffer-replacement-policy-audit-overlay.zip|ALGORITHM_INVENTORY_LINK|HerdDB;InnoDB;PostgreSQL;H2;JDK 25|Links this audit to the global algorithm inventory so buffer-policy work remains part of the algorithmic modernization roadmap.
BRP-019|docs/MVCC-BUFFER-REPLACEMENT-POLICY.md|HerdDB ClockProPolicy and ClockAdaptiveReplacement|REFERENCE_MODEL|HerdDB|Records CLOCK-Pro and adaptive replacement as reference candidates only, not dependencies or selected policy changes.
BRP-020|docs/MVCC-BUFFER-REPLACEMENT-POLICY.md|No shared buffer manager extraction is authorized by this audit|SHARED_SERVICE_BLOCK|Derby;InnoDB|Prevents a premature shared heap/MVCC cache service before heap compatibility and MVCC policy proof points converge.
