# DelosDB MVCC subsystem recovery-record gate.
# Format: id | path | contract | marker | reason
# The gate is classification/proof only: it documents explicit MVCC recovery metadata boundaries without changing Derby heap, raw-log, SQL, DRDA, or optimizer behavior.
I001 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | RECOVERY_RECORD_STORE | public final class MvccSubsystemRecoveryRecordStore | Dedicated provider-local recovery metadata store records MVCC subsystem boundaries separately from Derby heap and raw-log compatibility paths.
I002 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | ROW_PAGE_REDO_METADATA | appendRowPageRedo | Row-page redo metadata is explicit, giving later recovery code a durable row-page boundary rather than inferring row changes from generic diagnostics.
I003 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | INDEX_PAGE_REDO_METADATA | appendIndexPageRedo | Ordered-index page redo metadata is explicit, so index-page recovery can be reasoned about independently from candidate-index diagnostics.
I004 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | OVERFLOW_PAGE_REDO_METADATA | appendOverflowPageRedo | Overflow-page redo metadata is explicit, preserving a recovery seam for row-level and attribute-level overflow chains.
I005 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | FREE_SPACE_MAP_REDO_METADATA | appendFreeSpaceMapRedo | Free-space map redo metadata is explicit, making allocation and page-reuse state visible to the MVCC recovery boundary.
I006 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | TRANSACTION_OUTCOME_REDO_METADATA | appendTransactionOutcomeRedo | Transaction outcome redo metadata records the commit boundary that makes page mutations durable and replayable.
I007 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | CHECKPOINT_METADATA | appendCheckpoint | Checkpoint metadata is recorded as a first-class subsystem record, not as implicit state hidden inside table files.
I008 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | MONOTONIC_SEQUENCE | sequence must increase monotonically | Recovery records are validated with monotonic sequence numbers so truncated or reordered metadata fails diagnostics instead of silently passing.
I009 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | RECORD_KIND_ENUM | ROW_PAGE | The recovery record enum keeps row, index, overflow, free-space, transaction, and checkpoint categories explicit in durable metadata.
I010 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccPaths.java | DURABLE_PATH_BOUNDARY | subsystemRecoveryRecordsFile | Page-volume naming owns the .recovery sidecar path so subsystem recovery metadata is provider-local and not mixed with Derby heap files.
I011 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | STATE_STORE_INTEGRATION | MvccSubsystemRecoveryRecordStore.open | The page-volume state store opens the subsystem recovery record store with the same storage identity as MVCC pages, indexes, and sidecars.
I012 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | COMMIT_RECORDING_BOUNDARY | appendSubsystemRecoveryRecords(transactionId, durableCommitSequence) | Commit handling appends subsystem recovery metadata after durable commit sequencing, keeping metadata tied to transaction outcome boundaries.
I013 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | ROW_PAGE_REDO_METADATA | recoveryRecordStore.appendRowPageRedo | The state store records row-page recovery metadata using physical and logical page-version counts from committed MVCC state.
I014 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | INDEX_PAGE_REDO_METADATA | recoveryRecordStore.appendIndexPageRedo | Ordered-index rebuilds append index-page recovery metadata so index sidecar changes are not invisible to recovery diagnostics.
I015 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | OVERFLOW_PAGE_REDO_METADATA | recoveryRecordStore.appendOverflowPageRedo | The commit boundary records overflow page counts and value bytes so large-value state participates in recovery metadata.
