# id | path | marker | category | reference | risk
DOC_SCOPE | docs/PAGE-CODEC-ALGORITHMS.md | This is an audit artifact, not a behavior change | DOCUMENTATION | MapDB;PostgreSQL;InnoDB;H2;JDK 25 | The page codec audit must remain descriptive until a format-versioned implementation slice exists; otherwise a documentation-only overlay could be mistaken for permission to rewrite durable storage formats.
DOC_GUARDRAILS | docs/PAGE-CODEC-ALGORITHMS.md | No storage format change | NO_BEHAVIOR_CHANGE | Derby compatibility | The audit must explicitly block format changes because MVCC page records, sidecars, WAL text records, and inherited heap/raw-store formats have different compatibility constraints.
BINARY_FORMAT_HELPER | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/format/MvccBinaryFormat.java | Shared helpers for small MVCC durable binary formats | SHARED_BINARY_FORMAT | JDK 25 | Shared binary helpers are useful but can become an accidental cross-format abstraction; the audit must keep them scoped to DelosDB-owned MVCC formats.
PAGE_RECORD_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/format/MvccPageRecordCodec.java | Slot-record header codec for MVCC page records | PAGE_RECORD_CODEC | PostgreSQL;InnoDB | Page-record headers are an authority boundary for version records; checksum, body length, and legacy decode behavior must be preserved until a named format plan exists.
PAGE_RECORD_TEST | delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/format/MvccPageRecordCodecTest.java | pageRecordRejectsChecksumDamageBeforeVersionDecode | CODEC_TEST_PROOF | PostgreSQL;InnoDB | Existing checksum-damage tests are the current proof that record-wrapper corruption fails before version decode; future compacting work must preserve fail-loud behavior.
VERSION_RECORD_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/format/MvccVersionRecordCodec.java | public final class MvccVersionRecordCodec | VERSION_RECORD_CODEC | PostgreSQL MVCC tuple records | The version-record codec owns transaction/version/tombstone payloads and is therefore an MVCC authority codec, not a generic serializer to casually replace.
VERSION_RECORD_TEST | delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/format/MvccVersionRecordCodecTest.java | testEncodedVersionRecordCanBeStoredInPageFileAndDecodedAfterReopen | CODEC_TEST_PROOF | PostgreSQL MVCC tuple records | Reopen proof is required before any version-record layout change; a layout tweak without this proof could silently break durable MVCC storage.
ROW_PAYLOAD_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRowPayloadCodec.java | DelosDB MVCC row payload | ROW_PAYLOAD_CODEC | H2 compact Java storage | Row payload encoding is currently simple and stable; density improvements must be measured and must not break key/value separation or page-backed committed reads.
SQL_ROW_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/DurableMvccSqlRowCodec.java | without introducing Java serialization | SQL_ROW_CODEC | MapDB typed serializers | SQL row persistence must stay typed and explicit; allowing generic object serialization would reintroduce the hardening risks the project already removed.
INHERITED_ROW_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccInheritedRowCodec.java | Derby-storable | TYPED_DERBY_VALUE_BOUNDARY | Derby DataValueDescriptor;MapDB typed serializers | The inherited-row codec is the bridge between Derby-storable values and MVCC storage; arbitrary Java object values must not become durable authority again.
INDEX_TUPLE_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccIndexTupleCodec.java | Codec for one durable index-candidate record stored inside an index page slot | INDEX_TUPLE_CODEC | MapDB GroupSerializer;Calcite traits | Ordered-index tuple encoding is the future site for binary-searchable key areas, but null, composite, collation, and duplicate-key semantics need proof before layout changes.
OVERFLOW_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccOverflowPayloadCodec.java | DelosDB MVCC overflow descriptor | OVERFLOW_DESCRIPTOR_CODEC | PostgreSQL TOAST;InnoDB external fields | Overflow descriptor and chunk formats control large-value lifecycle; any compacting or checksum change must preserve descriptor/chunk integrity and backup/reopen behavior.
OVERFLOW_TEST | delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccOverflowPayloadCodecTest.java | descriptorRoundTripsFirstChunkLocator | CODEC_TEST_PROOF | PostgreSQL TOAST;InnoDB external fields | Overflow round-trip tests are the current proof for descriptor/chunk compatibility and must expand before changing descriptor or chunk layout.
OVERFLOW_REFERENCE_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccOverflowPayloadReferenceCodec.java | Small version-record payload used when the real row payload is stored in | OVERFLOW_REFERENCE_CODEC | PostgreSQL TOAST;InnoDB external fields | Inline overflow references are part of version-record payload interpretation, so they must remain fail-loud and distinguishable from inline row payloads.
ATTRIBUTE_OVERFLOW_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccAttributeOverflowRowPayloadCodec.java | DelosDB MVCC row attribute overflow | ATTRIBUTE_OVERFLOW_CODEC | PostgreSQL TOAST;InnoDB external fields | Attribute-level overflow must keep inline row identity and descriptor integrity while avoiding whole-row object serialization or hidden heap-format dependencies.
ATTRIBUTE_OVERFLOW_TEST | delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccAttributeOverflowRowPayloadCodecTest.java | roundTripsInlineKeyAndAttributeDescriptor | CODEC_TEST_PROOF | PostgreSQL TOAST;InnoDB external fields | Attribute overflow tests must remain focused on key/descriptor semantics before any chunk-packing or compression candidate is introduced.
SIDECAR_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccSidecarCodec.java | Binary MVCC sidecar codec for big-endian payloads with a checksum trailer | SIDECAR_CODEC | H2 MVStoreTool;JDK 25 | Sidecar payload checksums and atomic rewrite semantics are operational safety boundaries; replacing them requires backup/restore and crash/reopen proofs.
SIDECAR_TEST | delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccSidecarCodecTest.java | checksumMismatchFailsLoudly | CODEC_TEST_PROOF | H2 MVStoreTool;JDK 25 | Sidecar checksum mismatch must remain fail-loud because sidecars carry FSM, VM, and other metadata that can influence lifecycle decisions.
FREE_SPACE_MAP_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccFreeSpaceMapStore.java | MVCC free-space map | FREE_SPACE_MAP_CODEC | PostgreSQL FSM;MapDB packed serializers | Free-space map density may improve later, but it must remain rebuildable/diagnostic and must not become an unverified allocation authority change.
VISIBILITY_MAP_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccVisibilityMapStore.java | MVCC visibility map | VISIBILITY_MAP_CODEC | PostgreSQL VM | Visibility/prune map encoding affects purge scheduling and page-local pruning; bit layout changes require visibility and long-reader proofs.
WAL_TEXT_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccWriteAheadLog.java | MVCC page-volume WAL | WAL_TEXT_CODEC | PostgreSQL WAL;InnoDB redo | WAL line encoding is part of recovery ordering and must not be compressed or replaced without idempotent replay and checkpoint-boundary proofs.
RECOVERY_RECORD_CODEC | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java | MVCC subsystem recovery records | RECOVERY_RECORD_CODEC | PostgreSQL resource managers;InnoDB mini-transactions | Subsystem recovery records must stay ordered and replayable across row, index, overflow, map, and transaction-outcome subsystems.
ALGORITHM_INVENTORY_LINK | docs/ALGORITHM-INVENTORY.md | Page codecs | ALGORITHM_INVENTORY_LINK | MapDB;PostgreSQL;InnoDB;JDK 25 | The high-level algorithm inventory must point to page codec work so future compacting/MemorySegment work is tracked as algorithmic modernization, not ad hoc cleanup.
REFERENCE_MODELS | docs/PAGE-CODEC-ALGORITHMS.md | MapDB Serializer and GroupSerializer | REFERENCE_MODEL | MapDB;PostgreSQL;InnoDB;H2;JDK 25 | Reference engines provide ideas only; importing storage formats or dependencies would damage DelosDB ownership and Derby compatibility boundaries.
JDK25_MEMORY_SEGMENT | docs/PAGE-CODEC-ALGORITHMS.md | JDK 25 MemorySegment/VarHandle is a candidate | JDK25_CANDIDATE | JDK 25 | MemorySegment/VarHandle belongs only in owned DelosDB page/codec experiments until heap compatibility and format-version plans prove it safe.
HEAP_COMPATIBILITY_BLOCK | docs/PAGE-CODEC-ALGORITHMS.md | No Derby heap page or raw log rewrite | HEAP_COMPATIBILITY_BLOCK | Derby | The page codec audit must not be used as permission to rewrite inherited Derby page or raw log formats without a named compatibility gate.
