# id|path|category|marker|reason
HRP300|docs/COMPARATIVE-ENGINE-AUDIT.md|ROADMAP_STATUS|R7 — Heap raw-store cleanup phase 3|The comparative audit must keep the heap/raw-store cleanup phase visible as the balanced post-R6 slice.
HRP301|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/RawStore.java|RAWSTORE_CONTROL_FLOW|backupDelosMvccSidecars(backupcopy);|RawStore must retain the inherited backup control-flow hook after data-file backup completes.
HRP302|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/RawStore.java|RAWSTORE_CONTROL_FLOW|restoreDelosMvccSidecarsFromBackup(backupPath);|RawStore must retain the inherited restore hook alongside jar/history restore handling.
HRP303|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/RawStore.java|HELPER_EXTRACTION|DelosMvccBackupSidecarSupport|RawStore should delegate DelosDB sidecar copy/manifest details to a helper instead of growing inherited raw-store fork surface.
HRP304|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|HELPER_EXTRACTION|final class DelosMvccBackupSidecarSupport|The DelosDB-owned helper must isolate MVCC sidecar backup/restore mechanics inside the Derby storage module.
HRP305|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|NO_MVCC_MODULE_DEPENDENCY|STORAGE_DIRECTORY_NAME = "delos_mvcc"|The helper must treat delos_mvcc as a provider-owned sidecar directory by name, without importing the MVCC implementation module.
HRP306|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|MANIFEST_PRESERVATION|BACKUP_MANIFEST = "delos_mvcc.BACKUP-MANIFEST"|The helper must preserve the manifest file name used by existing sidecar backup verification.
HRP307|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|COPY_PRESERVATION|files.copyDirectory(mvccDirectory, backupMvccDirectory)|The helper must preserve copying provider-owned sidecars from database storage into the backup image.
HRP308|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|RESTORE_PRESERVATION|files.copyDirectory(backupMvccDirectory, dbMvccDirectory)|The helper must preserve copying provider-owned sidecars from the backup image into database storage.
HRP309|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|STALE_RESTORE_REPLACEMENT|files.deleteAll(dbMvccDirectory)|The helper must preserve stale target sidecar removal before restore or heap-only backup restore.
HRP310|gradle/static-analysis/delosdb-derby-fork-diff-classification.txt|FORK_DIFF_CLASSIFICATION|rawstore-mvcc-sidecar-helper|Inherited raw-store cleanup must remain visible in fork-diff classification rather than becoming silent Derby divergence.
