# DelosDB complete Class-File API differential capability manifest
# id|fixture|backend marker|behavior marker|reason
CFD-001|method-lifecycle|ExceptionsAttribute.ofSymbols(|declaredException|The complete backend must preserve MethodBuilder lifecycle, method names, completion, and checked-exception metadata through the final JDK 25 method attribute model while matching the established ASM behavior oracle.
CFD-002|parameter-constants|code.parameterSlot(id)|constantAndParameterFixtures|The complete differential proof must preserve all primitive, reference, null, and parameter operations, including category-two local-slot accounting delegated to the JDK Class-File API.
CFD-003|field-access|code.getfield(|fieldAccessFixtures|Generated, external instance, and static field reads and writes must retain inherited assignment-result behavior without exposing Class-File API builders outside the backend.
CFD-004|object-and-array|code.new_(classDesc(className))|objectAndArrayFixtures|Constructor invocation, primitive arrays, reference arrays, element loads, and element stores must verify and execute identically through ASM and the complete Class-File API backend.
CFD-005|receiver-and-conversion|code.conversion(|receiverAndConversionFixtures|Receiver access, primitive conversion, checkcast, upcast, and instanceof must preserve values and representative ClassCastException behavior across both generated classes.
CFD-006|stack-and-statement|code.dup2()|stackAndStatementFixtures|POP, POP2, DUP, DUP2, SWAP, and endStatement must preserve category-one and category-two operand behavior even when the Class-File API backend uses temporary locals for safe stack choreography.
CFD-007|control-flow|code.ifeq(elseLabel)|controlFlowFixtures|Boolean and null conditionals must preserve branch polarity, stack merging, and return behavior while all labels remain callback-scoped inside the backend.
CFD-008|invocation|code.invokeinterface(|invocationFixtures|Static, virtual, interface, special, and described invocation must preserve receiver, arguments, descriptors, return widths, and observable exceptions across both backends.
CFD-009|constructor|code.loadLocal(TypeKind.REFERENCE, code.receiverSlot())|constructorFixture|Generated constructors and explicit superclass chaining must remain loadable and executable through the inherited ClassBuilder and MethodBuilder contracts.
CFD-010|statement-splitting|STATEMENT_SPLIT_LIMIT = 128|statementSplittingFixture|The complete backend must preserve the established statement-split observation point and sticky limit result so later activation splitting does not depend on the bytecode library.
