# id|category|path|marker|authority
OPT_COST_DOC|DOCUMENTATION|docs/OPTIMIZER-COST-AUTHORITY.md|Derby optimizer remains the authority.|The documentation must state the core authority rule before any storage statistics or provider estimates are allowed to influence future work.
OPT_COST_NO_REPLACE|NO_PARALLEL_OPTIMIZER|docs/OPTIMIZER-COST-AUTHORITY.md|Do not replace Derby optimizer.|The audit must explicitly reject a hidden replacement planner, Calcite substitution, or MVCC-specific optimizer authority in this slice.
OPT_COST_DERBY_IMPL|DERBY_OPTIMIZER_AUTHORITY|delosdb-engine/src/main/java/org/apache/derby/impl/sql/compile/OptimizerImpl.java|Inherited Derby optimizer implementation|The inherited compiler optimizer remains the compatibility anchor and must not be bypassed by DelosDB storage-specific plan selection.
OPT_COST_STORE_SEAM|STORE_COST_CONTROLLER_SEAM|delosdb-derby-store-api/src/main/java/org/apache/derby/iapi/store/access/StoreCostController.java|(most likely the system optimizer) can use to get store's estimated cost|StoreCostController is the inherited Derby seam through which storage costing can be observed or adapted without replacing the optimizer.
OPT_COST_WRAPPER_SAFE|STORE_COST_CONTROLLER_SEAM|delosdb-derby-store-api/src/main/java/org/apache/derby/iapi/store/access/StoreCostControllerWrappers.java|must not make the native Derby optimizer unusable|Optional DelosDB wrappers must fail open to the native Derby delegate when providers are unavailable, stale, or rejected.
OPT_COST_TUNING|EXPLICIT_OPT_IN|delosdb-derby-store-api/src/main/java/org/apache/derby/iapi/store/access/DelosStoreCostTuning.java|does not replace the Derby optimizer's|Session cost tuning is a narrow inherited-cost constant adapter and must not become a provider-specific optimizer replacement.
OPT_COST_MVCC_CONTROLLER|MVCC_STATISTICS_HINT|delosdb-storage-mvcc/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccStoreCostController.java|rather than through a parallel optimizer statistics channel|MVCC storage statistics may influence costing only through the explicit cost-controller diagnostic seam and never through a hidden statistics authority.
OPT_COST_MVCC_DIAG|MVCC_STATISTICS_HINT|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosMvccOptimizerCostDiagnostics.java|delosdb.mvcc.optimizer.storageStatistics.enabled|The MVCC storage-statistics bridge is property-gated and must remain explicit rather than silently changing default optimizer behavior.
OPT_COST_STORAGE_REPORT|DIAGNOSTIC_ONLY|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageCostIntegration.java|Opt-in, read-only storage-statistics cost checkpoint.|Storage cost integration reports may explain estimates, but reporting alone must not decide plans or replace Derby catalog statistics.
OPT_COST_MODEL_MODE|EXPLICIT_OPT_IN|delosdb-engine/src/main/java/io/github/ggeorg/delosdb/engine/extension/cost/CostModelMode.java|The default is Derby-compatible.|CostModelProvider consumption must remain explicit and start from a Derby-compatible default mode.
OPT_COST_SAFE_BASELINE|EXPLICIT_OPT_IN|delosdb-engine/src/main/java/io/github/ggeorg/delosdb/engine/extension/cost/CostModelProbe.java|canSafelyReplaceDerbyCost|Provider estimates are consumable only when the diagnostic probe proves a safe Derby baseline and valid provider estimate.
OPT_COST_REQUEST|EXPLICIT_OPT_IN|delosdb-engine/src/main/java/io/github/ggeorg/delosdb/engine/extension/cost/CostModelRequest.java|hasSafeDerbyBaseline|The request object must keep Derby baseline safety explicit before provider estimates can be consumed.
OPT_COST_LEGACY_INDEX|LEGACY_INDEX_PROVIDER_DIAGNOSTIC|delosdb-engine/src/main/java/io/github/ggeorg/delosdb/engine/extension/index/IndexProviderCostMode.java|without replacing|The legacy IndexProvider bridge records metadata and cost diagnostics without replacing Derby optimizer estimates.
OPT_COST_ANALYZE_AUTH|ANALYZE_STATISTICS_LIFECYCLE|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosMvccAnalyzeStatisticsLifecycleDiagnostics.java|optimizerAuthority=derby|The analyze/statistics lifecycle must continue to report that Derby catalog statistics and inherited optimizer authority remain authoritative.
OPT_COST_PATH_DIAG|DIAGNOSTIC_ONLY|docs/STORAGE-PATH-DIAGNOSTICS.md|Derby optimizer authority remains unchanged|Storage path diagnostics may explain why paths are legal or rejected, but they must not become optimizer decision logic.
OPT_COST_JFR_DIAG|DIAGNOSTIC_ONLY|docs/JFR-STORAGE-LIFECYCLE-EVENTS.md|No JFR event currently decides whether a storage path is legal|JFR path-decision events and lifecycle events are observability-only and must not decide optimizer legality or plan selection.
OPT_COST_INVENTORY|ALGORITHM_INVENTORY_LINK|docs/ALGORITHM-INVENTORY.md|Optimizer cost authority audit update|The algorithm inventory must link the optimizer cost authority audit to the current algorithmic modernization plan.
OPT_COST_STATIC_TASK|STATIC_GATE|gradle/delosdb-storage-static-analysis.gradle|delosOptimizerCostAuthorityAuditStaticAnalysis|The static-analysis task must validate documentation, source markers, and S0 non-wiring for the optimizer cost authority audit.
