# DelosDB MVCC checkpoint/recovery ordering audit proof map.
# id | path | marker | category | reference | risk
CRO-001|docs/MVCC-CHECKPOINT-RECOVERY-ORDERING.md|MVCC checkpoint/recovery ordering audit|DOCUMENTATION|PostgreSQL;InnoDB;HerdDB;H2;Derby|The audit must be repository-visible before checkpoint, recovery, backup, purge, or flush-ordering algorithms are changed again.
CRO-002|docs/MVCC-CHECKPOINT-RECOVERY-ORDERING.md|This is an audit artifact, not a behavior change|NO_BEHAVIOR_CHANGE|Derby|The slice must remain diagnostic so the inherited Derby compatibility surface and existing MVCC recovery behavior are not silently changed.
CRO-003|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccCheckpointStore.java|forced prepare marker before publishing|CHECKPOINT_MARKER_ORDER|PostgreSQL;HerdDB|Checkpoint publication already records prepare-before-publish intent, but future rewrites must not treat the checkpoint file as storage authority.
CRO-004|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java|checkpointStore.rewrite(|CHECKPOINT_PUBLICATION|HerdDB;Derby|The page-volume state store owns when checkpoint metadata is rewritten, so any lifecycle change must keep page/sidecar evidence consistent.
CRO-005|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferFlushCoordinator.java|MVCC WAL-before-flush violation|DIRTY_PAGE_FLUSH_ORDER|InnoDB;PostgreSQL|Dirty page flushing must continue to reject page flushes whose WAL or page mutation evidence is not durable enough for recovery.
CRO-006|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccTransactionOutcomeLog.java|Strict recovery therefore needs the outcome log|TRANSACTION_OUTCOME_REPLAY|PostgreSQL;InnoDB|Strict replay depends on transaction outcome authority, so checkpoint compaction and recovery must never expose unknown transaction outcomes.
CRO-007|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngine.java|Subsystem metadata validation happens before any page mutation replay|SUBSYSTEM_REPLAY_ORDER|PostgreSQL;InnoDB|Recovery replay must validate cross-subsystem recovery metadata before applying page mutations to avoid partial repair-like behavior.
CRO-008|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/MvccSubsystemRecoveryRecordStore.java|requireCrossSubsystemCompleteness|SUBSYSTEM_RECOVERY_RECORD_ORDER|PostgreSQL;InnoDB|Subsystem recovery records are provider-owned metadata; future changes must keep row/index/overflow/free-space/outcome completeness explicit.
CRO-009|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/PageBackedMvccTable.java|outcomeLog.rewriteCheckpoint(selection.retainedRecords())|CHECKPOINT_COMPACTION|H2;PostgreSQL|Checkpoint compaction must rewrite retained mutation and outcome evidence together instead of leaving stale recovery references behind.
CRO-010|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccPurgeDaemon.java|visibility debt below threshold|PURGE_CHECKPOINT_INTERACTION|PostgreSQL;InnoDB|Purge scheduling is visibility-horizon sensitive and must remain separate from checkpoint publication until long-reader safety proofs cover the interaction.
CRO-011|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|void backupSidecars(File backupcopy)|BACKUP_SNAPSHOT_BOUNDARY|Derby;H2|Backup sidecar support must remain a Derby-storage helper that copies provider-owned sidecars without importing the MVCC implementation module.
CRO-012|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|void restoreSidecarsFromBackup(String backupPath)|BACKUP_RESTORE_BOUNDARY|Derby|Restore must preserve inherited RawStore control flow while removing stale MVCC sidecars only through the DelosDB sidecar helper seam.
CRO-013|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngineTest.java|duplicateReplayIsIdempotentWithinOneLogAndAcrossRepeatedBoots|RECOVERY_PROOF_EXISTING|PostgreSQL;HerdDB|Existing replay tests prove idempotence and reopen behavior, but this audit does not expand the crash matrix yet.
CRO-014|delosdb-storage-mvcc/src/test/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferManagerPhase2Test.java|WAL-before-flush violation|FLUSH_PROOF_EXISTING|InnoDB;PostgreSQL|Existing buffer-manager tests prove the WAL-before-flush guard, but policy and benchmark work must remain separate future slices.
CRO-015|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlBackupRestoreSidecarTest.java|backup must include delos_mvcc|BACKUP_PROOF_EXISTING|Derby;H2|SQL-level backup/restore sidecar tests keep mixed Derby raw-store and MVCC provider state visible through normal verification.
CRO-016|docs/ALGORITHM-INVENTORY.md|Audit ordering: checkpoint marker, dirty-page flush, subsystem recovery records|ALGORITHM_INVENTORY_LINK|PostgreSQL;InnoDB;HerdDB|The global algorithm inventory already identifies checkpoint/recovery ordering as the next lifecycle audit, so this slice must stay aligned with that map.
