# DelosDB MVCC visibility algorithm audit manifest
# id|path|marker|category|reference|risk
VISIBILITY_DOC|docs/MVCC-VISIBILITY-ALGORITHMS.md|This is an audit artifact, not a behavior change|DOCUMENTATION|PostgreSQL;InnoDB;HerdDB;Calcite;JDK 25|The visibility audit must remain documentation-only until a named implementation gate changes runtime behavior deliberately and proves compatibility.
NO_BEHAVIOR_CHANGE|docs/MVCC-VISIBILITY-ALGORITHMS.md|No Java runtime behavior change|NO_BEHAVIOR_CHANGE|Derby compatibility|This row prevents the audit from being treated as permission to alter snapshot, purge, recovery, optimizer, or heap behavior in the same slice.
SNAPSHOT_VISIBILITY|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccSnapshot.java|activeAtCapture|SNAPSHOT_VISIBILITY|PostgreSQL snapshot visibility|Snapshots must continue to reject transactions active at capture even if they commit later, and shortcuts must not bypass that captured-active exclusion.
SNAPSHOT_COMMAND_BOUNDARY|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccSnapshot.java|visibleThroughCommand|STATEMENT_VISIBILITY|PostgreSQL command-id self-visibility|Statement-level self-visibility depends on command boundaries, so ordered-index or row-id shortcuts must prove they do not expose current-statement writes early.
VISIBILITY_RULES|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccVisibility.java|isVisible|MVCC_AUTHORITY_ALGORITHM|PostgreSQL MVCC visibility|The central visibility predicate must remain the normal authority for version exposure and cannot be shadowed by map, cache, or index metadata.
PRUNE_SAFETY|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccVisibility.java|isSafeToPrune|PURGE_HORIZON_ALGORITHM|PostgreSQL pruning horizon;InnoDB purge history|Prune eligibility must be tied to transaction outcome and oldest visible horizon, not to approximate visibility debt or index cleanup convenience.
STATEMENT_SNAPSHOT|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccStatementSnapshot.java|Statement-scoped MVCC view|STATEMENT_VISIBILITY|PostgreSQL command-id self-visibility|Statement snapshots keep read-your-own-writes deterministic across statements, and changing them would alter SQL-visible MVCC behavior.
SNAPSHOT_LEASE|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccSnapshotLease.java|Retained MVCC snapshot handle|PURGE_HORIZON_ALGORITHM|PostgreSQL snapshot retention;InnoDB purge horizon|Snapshot leases are the explicit protection mechanism for long readers, so purge scheduling must recheck retained leases before removing history.
TRANSACTION_WATERMARKS|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccTransactionManager.java|retainedSnapshotWatermarks|PURGE_HORIZON_ALGORITHM|PostgreSQL vacuum horizon|Retained watermarks are safety state, and future compaction must not collapse them while a snapshot or inherited scan still depends on old history.
OLDEST_RETAINED|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccTransactionManager.java|oldestRetainedVisibleThrough|PURGE_HORIZON_ALGORITHM|PostgreSQL vacuum horizon;InnoDB purge history|Oldest retained visibility controls cleanup safety and should remain more authoritative than approximate debt or page-level hints.
COMPACTED_OUTCOMES|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccTransactionManager.java|compactRetainedOutcomes|TRANSACTION_OUTCOME_AUTHORITY|InnoDB history lifecycle|Outcome compaction must keep enough committed/aborted knowledge for visibility and pruned-history decisions after old transaction rows disappear.
VERSION_CHAIN_READ|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccVersionChain.java|visibleValue|VERSION_CHAIN_VISIBILITY|PostgreSQL version chains|Newest-first chain traversal remains the local row-version authority, and index/page shortcuts must resolve back through equivalent visibility semantics.
VERSION_CHAIN_PRUNED|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccVersionChain.java|throwIfPrunedHistoryWouldHaveBeenVisible|HISTORY_PRUNED_FAILURE|PostgreSQL fail-safe pruning|Pruned-history markers protect correctness by failing loudly when an old snapshot would otherwise receive a false empty or too-new result.
SAVEPOINT_ROLLBACK|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccVersionChain.java|rollbackTransactionChangesAfter|ROLLBACK_SAVEPOINT_VISIBILITY|Derby transaction/savepoint compatibility|Savepoint rollback must remain command-sequence scoped and must not accidentally erase committed versions or preserve deleted versions past the boundary.
TABLE_SCAN_VISIBILITY|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccTable.java|openScan|SCAN_VISIBILITY|PostgreSQL snapshot scan semantics|Full scans and index-assisted scans must produce the same visible rows for the same snapshot even when their physical traversal orders differ.
TABLE_PRUNED_CHECK|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccTable.java|throwIfAnyPrunedHistoryWouldHaveBeenVisible|HISTORY_PRUNED_FAILURE|PostgreSQL fail-safe pruning|Table-level scans must not silently skip rows whose only relevant versions were pruned while a stale snapshot still expects them.
