# id|path|category|marker|reason
NEXT-ROADMAP-001|docs/ENGINE-DEPTH-ROADMAP.md|ROADMAP_SCOPE|This roadmap opens the next storage-engine depth pass|The engine-depth roadmap must be separate from the closed Phase A-J pass so old closeout gates remain meaningful and future work starts from explicit contracts.
NEXT-ROADMAP-002|docs/ENGINE-DEPTH-ROADMAP.md|BACKUP_RESTORE_SIDECARS|Backup/restore sidecar verification|Sidecar backup and restore verification is a live durability boundary and must run before replay work can be trusted.
NEXT-ROADMAP-003|docs/ENGINE-DEPTH-ROADMAP.md|DERBY_PATCH_REVIEW|DERBY-7107 review/apply-if-still-valid|The Derby issue must be reviewed against the current DelosDB fork shape instead of being blindly imported as inherited code.
NEXT-ROADMAP-004|docs/ENGINE-DEPTH-ROADMAP.md|STATISTICS_OPTIMIZER|MVCC statistics and Derby optimizer/cost integration|MVCC cost work must feed Derby's existing StoreCostController and statistics path rather than create a parallel optimizer truth source.
NEXT-ROADMAP-005|docs/ENGINE-DEPTH-ROADMAP.md|LOGICAL_ROW_IDENTITY|logical-row-identity invariant check proves ordered entries reference rowKeys|The ordered-index replacement work needs a named invariant that proves index entries point to stable row keys before statistics/costing rely on them.
NEXT-ROADMAP-006|docs/ENGINE-DEPTH-ROADMAP.md|RECOVERY_REPLAY|MVCC recovery replay engine|Recovery-record metadata is not enough; the next recovery phase must specify actual replay, convergence, idempotence, and adversarial fault injection.
NEXT-ROADMAP-007|docs/ENGINE-DEPTH-ROADMAP.md|CROSS_SUBSYSTEM_ATOMICITY|cross-subsystem atomicity converges when crash occurs between subsystem redo applications|Per-subsystem replay success does not prove crash convergence when row, index, overflow, and free-space-map replay interleave.
NEXT-ROADMAP-008|docs/ENGINE-DEPTH-ROADMAP.md|BUFFER_MANAGER_PHASE2|MVCC buffer manager phase 2|The existing pinned/dirty boundary needs a deeper buffer-manager phase with bounded eviction, checkpoint interaction, and flush scheduling.
NEXT-ROADMAP-009|docs/ENGINE-DEPTH-ROADMAP.md|WAL_BEFORE_FLUSH|WAL-before-flush invariant prevents dirty page publication before covering log records are forced|Write-ahead ordering must be named as a hard invariant so dirty-page flushing cannot outrun durable recovery records.
NEXT-ROADMAP-010|docs/ENGINE-DEPTH-ROADMAP.md|GROUP_COMMIT|group commit batches compatible fsync work|Fsync batching is the natural performance counterpart to the sidecar durable-write hardening and must be planned before benchmark closeout.
NEXT-ROADMAP-011|docs/ENGINE-DEPTH-ROADMAP.md|PURGE_DAEMON|Purge daemon scheduling|Purge scheduling needs an explicit slice so long readers, checkpoints, and buffer pressure cannot leave purge permanently opportunistic.
NEXT-ROADMAP-012|docs/ENGINE-DEPTH-ROADMAP.md|HEAP_CLEANUP_PHASE2|Heap cleanup phase 2 and fork-diff expansion|Inherited heap cleanup must expand fork-diff classification as files are touched and must keep page/log/catalog/DRDA compatibility fixed.
NEXT-ROADMAP-013|docs/ENGINE-DEPTH-ROADMAP.md|SHARED_EXTRACTION_AUDIT|Shared-service extraction audit|Shared services must remain audit-only until both heap and MVCC have concrete proof points for each candidate abstraction.
NEXT-ROADMAP-014|docs/ENGINE-DEPTH-ROADMAP.md|PERFORMANCE_VALIDATION|Performance, concurrency, and external validation closeout|The roadmap needs concrete measurement tools so improvements become published numbers rather than structural claims.
NEXT-ROADMAP-015|docs/ENGINE-DEPTH-ROADMAP.md|TOOLING_NON_S0|Do not add benchmarks to S0 when they are nondeterministic or long-running|JMH, jcstress, SQLancer, and soak tests are essential but should be separate validation tasks rather than fast deterministic S0 dependencies.
NEXT-ROADMAP-016|docs/STORAGE-ROADMAP.md|ROADMAP_POINTER|Next engine-depth roadmap pointer|The closed storage roadmap should point to the new engine-depth roadmap without reopening Phase A-J or weakening existing closeout gates.
