# DelosDB algorithm inventory manifest.
# Format: id|layer|path|category|marker|reason
ALG-SQL-CODEGEN|SQL_CODEGEN|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/asm/AsmJava.java|JDK25_MODERNIZATION_CANDIDATE|public final class AsmJava|ASM remains the production Derby execution-bytecode generator, but JDK 25 Class-File API verification should guard generated classes before any replacement is attempted.
ALG-OPT-COST|OPTIMIZER_COSTING|delosdb-engine/src/main/java/org/apache/derby/impl/sql/compile/OptimizerImpl.java|DERBY_COMPATIBILITY_ALGORITHM|class OptimizerImpl implements Optimizer|Derby optimizer costing remains the SQL planning authority, so DelosDB storage statistics must be classified as authority, hint, or diagnostic before deeper use.
ALG-PRED-PUSHDOWN|PREDICATE_PUSHDOWN|delosdb-engine/src/main/java/org/apache/derby/impl/sql/compile/PredicateList.java|DERBY_COMPATIBILITY_ALGORITHM|class PredicateList extends QueryTreeNodeVector|Predicate classification and pushdown logic are inherited Derby SQL semantics and must not be changed without a compatibility gate.
ALG-STORAGE-DISPATCH|STORAGE_DISPATCH|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccScanController.java|DELOSDB_OWNED_ALGORITHM|private Iterator<Long> orderedIndexRowIds;|The MVCC bridge chooses ordered row-id scan paths and should next expose auditable storage access decisions without changing plan behavior.
ALG-HEAP-BOUNDARY|HEAP_COMPATIBILITY|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/heap/OpenHeap.java|HEAP_COMPATIBILITY_BOUNDARY|class OpenHeap extends OpenConglomerate|OpenHeap is an inherited Derby heap entry point and should remain a compatibility anchor while diagnostics and cleanup evolve behind gates.
ALG-MVCC-VISIBILITY|MVCC_VISIBILITY|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/MvccSnapshot.java|MVCC_AUTHORITY_ALGORITHM|public record MvccSnapshot(|MVCC snapshot contents define normal delos_mvcc visibility authority and are central to savepoint, rollback, purge, and long-reader correctness.
ALG-MVCC-INDEX-MAINT|MVCC_INDEX_MAINTENANCE|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccInheritedIndexMaintenance.java|MVCC_AUTHORITY_ALGORITHM|Candidate/ordered index maintenance|Candidate and ordered index maintenance decide lookup parity and fallback behavior, so key semantics must be audited before deeper index algorithm changes.
ALG-ORDERED-INDEX|MVCC_ORDERED_INDEX|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccOrderedIndexPageStore.java|MVCC_AUTHORITY_ALGORITHM|Durable page-backed store for MVCC ordered index entries.|The ordered index page store is normal MVCC index authority and needs explicit null, composite, range, unique, collation, and typed-key proofs.
ALG-FREE-SPACE-MAP|FREE_SPACE_MAP|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccFreeSpaceMapStore.java|DELOSDB_OWNED_ALGORITHM|record Snapshot(long pageCount|The free-space map is a DelosDB-owned page-reuse algorithm and should be measured for reuse accuracy, fragmentation, and update timing.
ALG-VISIBILITY-MAP|VISIBILITY_MAP|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccVisibilityMapStore.java|DELOSDB_OWNED_ALGORITHM|Durable sidecar visibility/prune map|The visibility/prune map summarizes page maintenance state and should connect prune eligibility, long readers, and visibility debt policy.
ALG-PAGE-CODEC|PAGE_CODECS|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/format/MvccPageRecordCodec.java|DELOSDB_OWNED_ALGORITHM|Slot-record header codec for MVCC page records.|MVCC page record codecs are DelosDB-owned format algorithms and should be audited before packed row-id lists or binary-searchable key areas are introduced.
ALG-OVERFLOW|OVERFLOW_STORAGE|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccOverflowPayloadStore.java|DELOSDB_OWNED_ALGORITHM|public final class MvccOverflowPayloadStore|Overflow payload storage owns large-value lifecycle and should be audited across insert, update, purge, backup, restore, and checker behavior.
ALG-BUFFER|BUFFER_REPLACEMENT|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccBufferReplacementPolicy.java|DELOSDB_OWNED_ALGORITHM|record Decision(|The buffer replacement policy is now an explicit algorithm and should be compared against CLOCK, CLOCK-Pro, and CAR-style candidates without changing defaults.
ALG-PURGE|PURGE_VACUUM|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccPurgeDaemon.java|MVCC_AUTHORITY_ALGORITHM|visibility debt below threshold|Purge scheduling is normal MVCC lifecycle authority and must keep horizon safety, visibility debt accounting, and long-reader behavior explicit.
ALG-RECOVERY|CHECKPOINT_RECOVERY|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccRecoveryReplayEngine.java|MVCC_AUTHORITY_ALGORITHM|public final class MvccRecoveryReplayEngine|Recovery replay owns MVCC lifecycle correctness after reopen and should be audited for ordering across transaction outcomes, pages, indexes, and subsystem records.
ALG-BACKUP|BACKUP_RESTORE|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|HEAP_COMPATIBILITY_BOUNDARY|void backupSidecars(File backupcopy)|MVCC sidecar backup remains hooked through inherited RawStore compatibility flow and must not import the MVCC implementation module.
ALG-DRDA|DRDA_RUNTIME|delosdb-server/src/main/java/org/apache/derby/impl/drda/DrdaThreading.java|JDK25_MODERNIZATION_CANDIDATE|Thread.ofVirtual()|DRDA virtual-thread support is a JDK 25 modernization candidate but must stay opt-in until fairness, cancellation, and compatibility stress are proven.
ALG-EXTERNAL-VALIDATION|EXTERNAL_VALIDATION|docs/EXTERNAL-VALIDATION.md|VALIDATION_ALGORITHM|delosExternalMvccValidation|External validation is a proof algorithm surface for JMH, jcstress, SQLancer, workload, and soak runs and must remain outside S0.
ALG-SHARED-STATS|SHARED_STATISTICS|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageStatistics.java|SHARED_SERVICE_ALGORITHM|public record DelosStorageStatistics|Storage statistics are a shared service shape that can inform diagnostics and later safe optimizer hints only after heap and MVCC proof points exist.
ALG-DIAGNOSTICS|DIAGNOSTICS|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccStorageDiagnostics.java|DIAGNOSTIC_ONLY_ALGORITHM|public final class MvccStorageDiagnostics|MVCC diagnostics expose storage state and counters but must not become hidden storage or optimizer authority.
ALG-JDK25-PAGE-IO|JDK25_PAGE_IO|delosdb-storage-io/src/main/java/io/github/ggeorg/delosdb/storage/io/page/DelosPage.java|JDK25_MODERNIZATION_CANDIDATE|import java.lang.foreign.MemorySegment;|MemorySegment is already used in DelosDB-owned page I/O and should stay away from Derby heap format boundaries until a compatibility plan exists.
ALG-RAW-LOG|RAW_LOG_BOUNDARY|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/RawStore.java|DO_NOT_TOUCH_WITHOUT_COMPAT_GATE|new  CHECKPOINT log record|Inherited Derby raw log and checkpoint semantics are compatibility boundaries and must not change without a versioned compatibility plan.
ALG-REFERENCE-MODELS|REFERENCE_MODELS|docs/ALGORITHM-INVENTORY.md|REFERENCE_MODEL_ONLY|Calcite reference model|Calcite, HerdDB, MapDB, H2, PostgreSQL, and InnoDB are reference models for algorithm shape, not runtime dependencies in this phase.
