# id|path|marker|category|reference|risk
G1-DOC|docs/HEAP-ALGORITHM-BOUNDARIES.md|This is an audit artifact, not a behavior change|DOCUMENTATION|Derby;PostgreSQL;InnoDB;HerdDB;MapDB;JDK 25|Documents the phase-4 heap/raw-store boundary audit so future inherited-code cleanup is explicit, reviewable, and separate from runtime behavior changes.
G1-NO-BEHAVIOR|docs/HEAP-ALGORITHM-BOUNDARIES.md|No Java runtime behavior change|NO_BEHAVIOR_CHANGE|Derby|Locks this slice to documentation/static-gate work only, preventing accidental heap, raw-store, DRDA, catalog, or optimizer behavior changes.
G1-OPEN-HEAP|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/heap/OpenHeap.java|class OpenHeap extends OpenConglomerate|DERBY_COMPATIBILITY_ANCHOR|Derby|OpenHeap is inherited Derby access-method state and must remain a heap compatibility anchor unless a focused compatibility gate proves any extraction safe.
G1-HEAP-CONTROLLER|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/heap/HeapController.java|The current heap access method implements an algorithm that optimizes|DERBY_COMPATIBILITY_ANCHOR|Derby|HeapController owns inherited insert/update/load behavior, so cleanup must not alter row placement, locking, scan, or open/reopen behavior.
G1-HEAP-OVERFLOW|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/heap/HeapController.java|parts will be overflowed to other pages|DO_NOT_TOUCH_WITHOUT_FORMAT_PLAN|Derby;PostgreSQL;InnoDB|Heap overflow behavior is page-format and long-row sensitive; changes need an explicit heap format and compatibility plan rather than a cleanup overlay.
G1-OPEN-CONGLOMERATE|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/conglomerate/OpenConglomerate.java|implements the basic functionality needed to operate|DERBY_COMPATIBILITY_ANCHOR|Derby|OpenConglomerate carries inherited scan/controller position algorithms that affect heap scans, locking, and cursor behavior across Derby compatibility tests.
G1-GENERIC-CONTROLLER|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/conglomerate/GenericController.java|the count unlogged to a backing store|CLEANUP_CANDIDATE|Derby|GenericController row-count persistence can be clarified only if unlogged estimate semantics and existing heap cost behavior remain unchanged.
G1-BASE-PAGE-LOG|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/data/BasePage.java|Instant of last log record that updated this page|LOG_FORMAT_BOUNDARY|Derby;PostgreSQL;InnoDB|BasePage tracks page log ordering and must not be changed without a raw-log and recovery compatibility plan.
G1-BASE-PAGE-LATCH|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/data/BasePage.java|This class implements all the the generic locking behaviour for a Page|DERBY_COMPATIBILITY_ANCHOR|Derby;HerdDB|BasePage latching and generic page mutation behavior is inherited concurrency machinery and is not a shared-service target in this audit.
G1-STORED-PAGE-RECORD|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/data/StoredPage.java|Record Header format is defined in the StoredRecordHeader class|FORMAT_BOUNDARY|Derby;MapDB;JDK 25|StoredPage record headers are heap on-disk format; JDK 25 or compact-codec ideas may not touch them without a versioned format plan.
G1-STORED-PAGE-FIELD|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/data/StoredPage.java|Field Header format is defined in the StoredFieldHeader class|FORMAT_BOUNDARY|Derby;MapDB|StoredPage field headers and logical data streams define Derby heap compatibility and must remain isolated from DelosDB-owned MVCC codec experiments.
G1-FILE-CONTAINER|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/data/FileContainer.java|Access to the allocation cache MUST be synchronized|FORMAT_BOUNDARY|Derby;InnoDB;HerdDB|FileContainer owns allocation-cache and container-format behavior; future diagnostics may observe it but must not replace allocation algorithms here.
G1-ALLOC-PAGE|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/data/AllocPage.java|on disk format is different|FORMAT_BOUNDARY|Derby;PostgreSQL;InnoDB|AllocPage has an explicit on-disk allocation format boundary and is a do-not-touch area without a heap allocation format plan.
G1-STOREDPAGE-DIAG|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/data/D_StoredPage.java|provides diagnostic information about the StoredPage|READ_ONLY_DIAGNOSTIC|Derby;PostgreSQL|D_StoredPage is the safe read-only diagnostic side of heap modernization and can expand only if it remains non-mutating.
G1-HEAPCTRL-DIAG|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/access/heap/D_HeapController.java|implements the Diagnostics protocol|READ_ONLY_DIAGNOSTIC|Derby;HerdDB|D_HeapController is a read-only diagnostic surface for heap/page/overflow statistics and must not become a repair or rewrite path.
G1-SIDECAR-SEAM|delosdb-storage-derby/src/main/java/org/apache/derby/impl/store/raw/DelosMvccBackupSidecarSupport.java|must not depend on the MVCC module|BACKUP_RESTORE_EXTENSION_SEAM|Derby;HerdDB|The MVCC sidecar backup helper is a DelosDB extension seam under Derby RawStore control flow and must keep module boundaries intact.
