# DelosDB MethodBuilder operation inventory
# id|category|signature|operation|reason
MB-001|METHOD_METADATA|void addThrownException(String)|addThrownException|Freeze the inherited addThrownException operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-002|METHOD_METADATA|String getName()|getName|Freeze the inherited getName operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-003|METHOD_LIFECYCLE|void complete()|complete|Freeze the inherited complete operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-004|PARAMETER_AND_CONSTANT|void getParameter(int)|getParameter|Freeze the inherited getParameter operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-005|PARAMETER_AND_CONSTANT|void push(byte)|push|Freeze the inherited push operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-006|PARAMETER_AND_CONSTANT|void push(boolean)|push|Freeze the inherited push operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-007|PARAMETER_AND_CONSTANT|void push(short)|push|Freeze the inherited push operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-008|PARAMETER_AND_CONSTANT|void push(int)|push|Freeze the inherited push operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-009|PARAMETER_AND_CONSTANT|void push(long)|push|Freeze the inherited push operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-010|PARAMETER_AND_CONSTANT|void push(float)|push|Freeze the inherited push operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-011|PARAMETER_AND_CONSTANT|void push(double)|push|Freeze the inherited push operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-012|PARAMETER_AND_CONSTANT|void push(String)|push|Freeze the inherited push operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-013|PARAMETER_AND_CONSTANT|void pushNull(String)|pushNull|Freeze the inherited pushNull operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-014|FIELD_ACCESS|void getField(LocalField)|getField|Freeze the inherited getField operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-015|FIELD_ACCESS|void getField(String, String, String)|getField|Freeze the inherited getField operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-016|FIELD_ACCESS|void getStaticField(String, String, String)|getStaticField|Freeze the inherited getStaticField operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-017|FIELD_ACCESS|void setField(LocalField)|setField|Freeze the inherited setField operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-018|FIELD_ACCESS|void putField(LocalField)|putField|Freeze the inherited putField operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-019|FIELD_ACCESS|void putField(String, String)|putField|Freeze the inherited putField operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-020|FIELD_ACCESS|void putField(String, String, String)|putField|Freeze the inherited putField operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-021|OBJECT_AND_ARRAY|void pushNewStart(String)|pushNewStart|Freeze the inherited pushNewStart operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-022|OBJECT_AND_ARRAY|void pushNewComplete(int)|pushNewComplete|Freeze the inherited pushNewComplete operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-023|OBJECT_AND_ARRAY|void pushNewArray(String, int)|pushNewArray|Freeze the inherited pushNewArray operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-024|OBJECT_AND_ARRAY|void pushThis()|pushThis|Freeze the inherited pushThis operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-025|CONVERSION|void upCast(String)|upCast|Freeze the inherited upCast operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-026|CONVERSION|void cast(String)|cast|Freeze the inherited cast operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-027|OBJECT_AND_ARRAY|void isInstanceOf(String)|isInstanceOf|Freeze the inherited isInstanceOf operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-028|STACK_AND_STATEMENT|void pop()|pop|Freeze the inherited pop operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-029|STACK_AND_STATEMENT|void endStatement()|endStatement|Freeze the inherited endStatement operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-030|CONTROL_FLOW|void methodReturn()|methodReturn|Freeze the inherited methodReturn operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-031|CONTROL_FLOW|void conditionalIfNull()|conditionalIfNull|Freeze the inherited conditionalIfNull operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-032|CONTROL_FLOW|void conditionalIf()|conditionalIf|Freeze the inherited conditionalIf operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-033|CONTROL_FLOW|void startElseCode()|startElseCode|Freeze the inherited startElseCode operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-034|CONTROL_FLOW|void completeConditional()|completeConditional|Freeze the inherited completeConditional operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-035|INVOCATION|int callMethod(short, String, String, String, int)|callMethod|Freeze the inherited callMethod operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-036|INVOCATION|Object describeMethod(short, String, String, String)|describeMethod|Freeze the inherited describeMethod operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-037|INVOCATION|int callMethod(Object)|callMethod|Freeze the inherited callMethod operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-038|INVOCATION|void callSuper()|callSuper|Freeze the inherited callSuper operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-039|OBJECT_AND_ARRAY|void getArrayElement(int)|getArrayElement|Freeze the inherited getArrayElement operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-040|OBJECT_AND_ARRAY|void setArrayElement(int)|setArrayElement|Freeze the inherited setArrayElement operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-041|STACK_AND_STATEMENT|void swap()|swap|Freeze the inherited swap operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-042|STACK_AND_STATEMENT|void dup()|dup|Freeze the inherited dup operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
MB-043|METHOD_LIFECYCLE|boolean statementNumHitLimit(int)|statementNumHitLimit|Freeze the inherited statementNumHitLimit operation because it remains part of the compiler-facing generation contract that the sole JDK 25 Class-File API backend must implement without semantic drift.
