# id|path|marker|category|reference|risk
TYPED_KEY_API|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageOrderedIndexKey.java|Typed key boundary for page-backed MVCC ordered index lookups.|TYPED_KEY_BOUNDARY|MapDB typed serializers; Calcite metadata typing|High compatibility risk if Derby value ordering is changed without SQL proof because ordered pages could silently return Derby-incompatible key ranges.
BRIDGE_TYPED_KEYS|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccInheritedIndexMaintenance.java|DelosStorageOrderedIndexKey.encode(value)|BRIDGE_KEY_PRODUCTION|HerdDB explicit index operation materialization|Bridge owns conversion from Derby store values to typed ordered-index envelopes.
DURABLE_KEY_CODEC|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccOrderedIndexPageStore.java|MVCC-durable interpretation of the typed key envelope.|DURABLE_SORT_AND_RANGE|H2 ordered maps; MapDB binary-searchable key arrays|Durable layer sorts typed envelopes but must not import Derby value classes or claim Derby collation/composite semantics without a gate.
NUMERIC_SQL_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlTypedOrderedIndexKeyTest.java|testIntegerRangeUsesNumericOrderedIndexKeySemantics|SQL_PROOF_EXISTING|PostgreSQL typed comparison discipline|Existing SQL proof covers numeric range ordering through ordered MVCC pages and guards against lexical numeric mistakes in normal SQL reads.
DECIMAL_SQL_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlTypedOrderedIndexKeyTest.java|testDecimalAndBigintRangesUseTypedOrderedIndexKeySemantics|SQL_PROOF_EXISTING|PostgreSQL typed comparison discipline|Existing SQL proof covers bigint and decimal range ordering through ordered MVCC pages.
TEXT_PREFIX_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlTypedOrderedIndexKeyTest.java|testTextValuesThatResembleLegacyTypedEnvelopeUseTextSemantics|SQL_PROOF_EXISTING|Calcite type/trait distinction|Existing SQL proof ensures text payloads that resemble old envelopes remain text semantics.
SNAPSHOT_EQUALITY_EXCLUSION|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlOrderedIndexEqualityLookupTest.java|stable snapshots must not use current-committed ordered index pages|SNAPSHOT_SAFETY|PostgreSQL visibility first; InnoDB read-view discipline|Current-committed ordered-index shortcuts stay off stable snapshot and writer-borrowed reads.
SNAPSHOT_RANGE_EXCLUSION|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlOrderedIndexRangeScanTest.java|writer-borrowed range reads must not use current-committed ordered index pages|SNAPSHOT_SAFETY|PostgreSQL visibility first; InnoDB read-view discipline|Range shortcuts stay off writer-borrowed snapshot paths where current-committed authority would be unsafe.
LARGE_KEY_NORMALIZATION|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/durable/MvccOrderedIndexPageStore.java|<oversized:|LARGE_KEY_BOUNDARY|H2 LOB/stream storage; MapDB compact key encoding|Oversized entries are normalized to fit pages, but full Derby range semantics need separate proof.
NULL_SEMANTIC_GAP|docs/MVCC-ORDERED-INDEX-KEY-SEMANTICS.md|Raw Java `null` cells in a `StoreDataValue[]` are not a valid ordered-index key authority shape.|KNOWN_SEMANTIC_GAP|Derby typed NULL holders; PostgreSQL NULL index rules|SQL NULL must be proved through Derby value holders, not raw null test fixtures.
COMPOSITE_SEMANTIC_GAP|docs/MVCC-ORDERED-INDEX-KEY-SEMANTICS.md|it is not yet a physical composite-key envelope.|KNOWN_SEMANTIC_GAP|Calcite collation/trait metadata; MapDB grouped key arrays|Current per-column key entries are not a composite Derby index tuple-key authority.
COLLATION_SEMANTIC_GAP|docs/MVCC-ORDERED-INDEX-KEY-SEMANTICS.md|Derby collation-sensitive comparison must not be assumed|KNOWN_SEMANTIC_GAP|Calcite collation traits; Derby collation behavior|Text ordering cannot claim full Derby collation equivalence without explicit metadata/proofs.
DIRECTION_SEMANTIC_GAP|docs/MVCC-ORDERED-INDEX-KEY-SEMANTICS.md|does not encode physical sort direction|KNOWN_SEMANTIC_GAP|Calcite RelCollation; B-tree direction traversal|ASC/DESC physical traversal is not encoded by the current ordered-index sidecar.
UNIQUE_AUTHORITY_BOUNDARY|docs/MVCC-ORDERED-INDEX-KEY-SEMANTICS.md|must not become an independent uniqueness oracle|DO_NOT_TOUCH_WITHOUT_COMPAT_GATE|Derby uniqueness authority; InnoDB unique index discipline|Unique constraint behavior must remain Derby-compatible until a specific gate proves equivalence.
CANDIDATE_PARITY_ONLY|delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/bridge/MvccInheritedIndexMaintenance.java|orderedIndexCandidateParityErrors|CANDIDATE_PARITY_DIAGNOSTIC|HerdDB consistency checks; PostgreSQL amcheck spirit|Candidate/ordered parity diagnostics remain diagnostic and must not regain normal SQL authority.
REFERENCE_MODELS|docs/MVCC-ORDERED-INDEX-KEY-SEMANTICS.md|These are reference models only; this audit does not add them as dependencies.|REFERENCE_MODEL|Calcite; HerdDB; MapDB|External projects shape the algorithm roadmap but must not become runtime dependencies here.
