# DelosDB Class-File API production-authority switch manifest
# id|category|path|marker|reason
CFS-001|PRODUCTION_BACKEND|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/classfile/ClassFileJava.java|CLASSFILE_PRODUCTION_AUTHORITY|The accepted JDK 25 backend must identify itself as the normal production authority after Phase 5.2 so reports and static evidence cannot continue describing it as merely an unregistered candidate.
CFS-002|FIXED_REGISTRATION|delosdb-engine/src/main/java/org/apache/derby/modules.properties|derby.module.javaCompiler=org.apache.derby.impl.services.bytecode.classfile.ClassFileJava|Normal Derby boot must select exactly one fixed Class-File API JavaFactory registration without relying on a system-property override or exposing a user-facing backend mode.
CFS-003|DEFAULT_SQL_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassClassFileAuthoritySwitchTest.java|MODULES_PROPERTIES_DEFAULT|A focused real-SQL proof must verify that an override-free JVM boots the Class-File API JavaFactory, executes prepared reads and updates, preserves SQLState 22012, and shuts down cleanly.
CFS-004|ASM_ORACLE|delosdb-tests/build.gradle|runDelosGeneratedClassAsmOracleProof|ASM may remain only through one bounded aggregate of the deterministic baseline, frozen behavior oracle, and complete differential fixture during the post-cutover proof period.
CFS-005|DEFAULT_JDBC_DRDA|delosdb-tests/build.gradle|runDelosGeneratedClassClassFileAuthorityJdbcDrdaTest|The focused JDBC, DRDA, security, catalog-object, application-UDT, and MVCC network lane must run through default registration rather than an explicit Class-File API override after cutover.
CFS-006|DEFAULT_LANGUAGE|delosdb-tests/build.gradle|tasks.named('runDerbyLangSuite')|The inherited language suite must remain the normal override-free acceptance lane so ordinary compiler execution, rather than a candidate-only task, proves the production authority.
CFS-007|DEFAULT_MODULAR_IMAGE|delosdb-tests/build.gradle|runDelosV1ModularImageDrdaTest|The normal jlink modular-image DRDA task must exercise modules.properties authority without the Phase 5.1 spawned-process override used only for candidate acceptance.
CFS-008|BUILTIN_CAMPAIGN|delosdb-tests/build.gradle|runDelosGeneratedClassClassFileAuthoritySwitchBuiltInAcceptance|One repeatable Phase 5.2 aggregate must combine default SQL, bounded ASM oracle, normal language, default JDBC/DRDA, and normal modular-image evidence before Phase 6 removes ASM.
CFS-009|EXTERNAL_SQLANCER|build.gradle|delosGeneratedClassClassFileAuthoritySqlancerValidation|Post-switch SQLancer must execute through the normal registration and reject hidden derby.module.javaCompiler overrides so external validation proves the actual production path.
CFS-010|DESIGN_STATUS|docs/design/V1-JDK25-CLASSFILE-GENERATION-MODERNIZATION.md|Compiler Phase 5.2 status: IMPLEMENTED / PENDING VERIFICATION|The public design must show that authority has switched pending post-cutover verification while retaining ASM only for the bounded proof period and keeping Phase 6 as the next removal milestone.
