# DelosDB Class-File API authority-candidate acceptance manifest
# id|category|path|marker|reason
CFA-001|PRODUCTION_CANDIDATE|delosdb-engine/src/main/java/org/apache/derby/impl/services/bytecode/classfile/ClassFileJava.java|COMPILER_PHASE_5_1_AUTHORITY_CANDIDATE|The complete JDK 25 backend must be compiled and packaged with the engine before realistic language, DRDA, and modular-image acceptance can exercise the exact implementation proposed for production authority.
CFA-002|PRODUCTION_AUTHORITY|delosdb-engine/src/main/java/org/apache/derby/modules.properties|derby.module.javaCompiler=org.apache.derby.impl.services.bytecode.asm.AsmJava|Normal runtime authority must remain ASM during the acceptance campaign so a candidate failure cannot silently change ordinary developer, CI, or application execution before the cutover decision.
CFA-003|REAL_SQL_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassClassFileAuthorityCandidateTest.java|Monitor.findSystemModule(Module.JavaFactory)|The focused proof must verify the monitor selected the production candidate and then compile real SQL covering parameters, expressions, decimal values, null branches, subqueries, aggregates, UDF calls, wide projections, and SQLState preservation.
CFA-004|DIFFERENTIAL_PROOF|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/GeneratedClassClassFileCompleteDifferentialTest.java|newClassFileFactory()|The complete 43-signature differential oracle must instantiate the production-packaged candidate rather than a test-source copy, preserving one implementation from complete parity evidence through authority acceptance.
CFA-005|LANGUAGE_ACCEPTANCE|delosdb-tests/build.gradle|runDerbyLangSuiteClassFileCandidate|The complete inherited language suite must run in an isolated test JVM whose module override selects the production candidate while keeping the default language task on ASM for baseline comparison.
CFA-006|JDBC_DRDA_ACCEPTANCE|delosdb-tests/build.gradle|runDelosGeneratedClassClassFileCandidateJdbcDrdaTest|Focused JDBC, DRDA, security, catalog-object, application-UDT, and MVCC network-client paths must execute with the candidate selected so transport and deserialization boundaries are proven independently of embedded-only SQL.
CFA-007|MODULAR_IMAGE_ACCEPTANCE|delosdb-tests/build.gradle|runDelosV1ModularImageDrdaClassFileCandidateTest|The jlink runtime image must package the candidate and pass the compiler override into spawned server and client JVMs, proving JPMS resolution and DRDA operation without changing normal image authority.
CFA-008|MODULAR_PROCESS_OVERRIDE|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/V1ModularImageDrdaTest.java|-Dderby.module.javaCompiler=|The modular acceptance proof must propagate the internal candidate selection into every spawned JVM rather than only setting a property on the outer JUnit process where it cannot affect the image runtime.
CFA-009|BUILTIN_CAMPAIGN|delosdb-tests/build.gradle|runDelosGeneratedClassClassFileAuthorityCandidateBuiltInAcceptance|One aggregate task must execute the focused SQL, complete differential, full language, JDBC/DRDA, and modular-image candidate lanes so the built-in campaign is repeatable and cannot be reduced to a hand-selected subset.
CFA-010|EXTERNAL_SQLANCER|build.gradle|delosGeneratedClassClassFileAuthorityCandidateSqlancerValidation|SQLancer remains an explicit external tool, but the repository must provide a dedicated task that injects the candidate module selection into the caller-supplied command before authority can switch.
CFA-011|STATIC_GATE|gradle/delosdb-generated-class-contract-static-analysis.gradle|delosGeneratedClassClassFileAuthorityCandidateStaticAnalysis|A permanent static gate must protect the single production candidate location, retired test copy, fixed ASM registration, candidate task wiring, modular override, external SQLancer lane, and no normal runtime selector.
CFA-012|DESIGN_STATUS|docs/design/V1-JDK25-CLASSFILE-GENERATION-MODERNIZATION.md|Compiler Phase 5.1 status: IMPLEMENTED / PENDING VERIFICATION|The public design must distinguish production packaging and acceptance from the later authority switch, preventing a packaged candidate from being misrepresented as the normal compiler backend before the proof campaign is green.
