# DelosDB MVCC candidate-index quarantine proof points.
# Format:
# id|relative_path|contract|marker|reason
# This Phase C gate is static/reporting validation for the already-green quarantine behavior.
# It does not remove candidate indexes and must not require Java behavior changes.

mvcc-quarantine-audit-zero-authority|gradle/static-analysis/delosdb-mvcc-candidate-index-authority-audit.txt|AUDIT_CONTRACT|NORMAL_SQL_AUTHORITY|The Phase C quarantine gate fails if any audit row still classifies candidate indexes as normal SQL authority
mvcc-quarantine-sql-gate|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexQuarantineTest.java|SQL_INTEGRATION_GATE|candidate-index fallback should be quarantined by default|The SQL gate proves the legacy candidate fallback is not enabled by default
mvcc-quarantine-covered-paths|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexQuarantineTest.java|SQL_INTEGRATION_GATE|candidate-index fallback should remain cold on normal covered paths|The SQL gate proves equality and range reads keep candidate fallback cold
mvcc-quarantine-ordered-authority|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexQuarantineTest.java|SQL_INTEGRATION_GATE|normal equality/range reads should use ordered index pages|The SQL gate proves ordered page-backed indexes are the covered-path authority
mvcc-quarantine-rowid-fastpath|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexQuarantineTest.java|SQL_INTEGRATION_GATE|ordered authority should feed page-backed row-id reads|The SQL gate proves ordered authority flows into page-backed row-id reads rather than legacy candidate authority
mvcc-quarantine-legacy-property|delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlCandidateIndexQuarantineTest.java|SQL_INTEGRATION_GATE|old diagnostic fallback property is set|The SQL gate proves the legacy diagnostic fallback property cannot silently restore SQL authority
mvcc-quarantine-suite-wiring|delosdb-tests/build.gradle|TEST_SUITE_WIRING|MvccSqlCandidateIndexQuarantineTest.class|The focused MVCC SQL integration task must execute the quarantine gate
mvcc-quarantine-state-hard-gate|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccConglomerateState.java|PRODUCTION_GATE|candidateIndexDiagnosticFallbackEnabledForTesting|The production fallback switch remains hard-quarantined and does not read legacy properties
mvcc-quarantine-ordered-equality|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccConglomerateState.java|PRODUCTION_GATE|orderedIndexRowIdsFor|The scan narrowing boundary routes equality lookups through ordered page-backed indexes
mvcc-quarantine-ordered-range|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccConglomerateState.java|PRODUCTION_GATE|orderedIndexRowIdsInRangeFor|The scan narrowing boundary routes range lookups through ordered page-backed indexes
mvcc-quarantine-fallback-counter-api|delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageDiagnostics.java|DIAGNOSTIC_CONTRACT|candidateIndexFallbackLookupCountForTesting|The diagnostics API preserves an explicit fallback counter while normal covered paths keep it at zero
mvcc-quarantine-fallback-counter-bridge|delosdb-storage-bridge/src/main/java/org/apache/derby/impl/store/access/mvcc/MvccBridgeDiagnosticsSupport.java|DIAGNOSTIC_CONTRACT|incrementCandidateIndexFallbackLookupCount|The bridge keeps fallback accounting explicit for future emergency or diagnostic paths
